Time,blooket join
2022-08-29,30
2022-08-30,36
2022-08-31,43
2022-09-01,55
2022-09-02,57
2022-09-03,3
2022-09-04,2
2022-09-05,1
2022-09-06,36
2022-09-07,42
2022-09-08,54
2022-09-09,67
2022-09-10,3
2022-09-11,2
2022-09-12,41
2022-09-13,51
2022-09-14,57
2022-09-15,64
2022-09-16,90
2022-09-17,4
2022-09-18,3
2022-09-19,48
2022-09-20,63
2022-09-21,64
2022-09-22,63
2022-09-23,76
2022-09-24,5
2022-09-25,3
2022-09-26,40
2022-09-27,50
2022-09-28,57
2022-09-29,50
2022-09-30,36
2022-10-01,3
2022-10-02,3
2022-10-03,34
2022-10-04,25
2022-10-05,21
2022-10-06,28
2022-10-07,26
2022-10-08,1
2022-10-09,1
2022-10-10,12
2022-10-11,18
2022-10-12,18
2022-10-13,25
2022-10-14,28
2022-10-15,2
2022-10-16,2
2022-10-17,35
2022-10-18,43
2022-10-19,53
2022-10-20,58
2022-10-21,65
2022-10-22,4
2022-10-23,3
2022-10-24,44
2022-10-25,52
2022-10-26,60
2022-10-27,67
2022-10-28,78
2022-10-29,6
2022-10-30,3
2022-10-31,65
2022-11-01,52
2022-11-02,54
2022-11-03,63
2022-11-04,73
2022-11-05,8
2022-11-06,4
2022-11-07,43
2022-11-08,36
2022-11-09,58
2022-11-10,74
2022-11-11,56
2022-11-12,6
2022-11-13,4
2022-11-14,52
2022-11-15,57
2022-11-16,66
2022-11-17,73
2022-11-18,87
2022-11-19,7
2022-11-20,5
2022-11-21,37
2022-11-22,49
2022-11-23,17
2022-11-24,4
2022-11-25,3
2022-11-26,2
2022-11-27,2
2022-11-28,37
2022-11-29,42
2022-11-30,58
2022-12-01,58
2022-12-02,73
2022-12-03,5
2022-12-04,4
2022-12-05,49
2022-12-06,56
2022-12-07,71
2022-12-08,78
2022-12-09,84
2022-12-10,7
2022-12-11,4
2022-12-12,67
2022-12-13,68
2022-12-14,71
2022-12-15,88
2022-12-16,94
2022-12-17,8
2022-12-18,4
2022-12-19,50
2022-12-20,57
2022-12-21,53
2022-12-22,37
2022-12-23,16
2022-12-24,4
2022-12-25,3
2022-12-26,2
2022-12-27,2
2022-12-28,2
2022-12-29,2
2022-12-30,2
2022-12-31,1
2023-01-01,2
2023-01-02,4
2023-01-03,23
2023-01-04,34
2023-01-05,43
2023-01-06,62
2023-01-07,3
2023-01-08,2
2023-01-09,47
2023-01-10,57
2023-01-11,59
2023-01-12,70
2023-01-13,83
2023-01-14,6
2023-01-15,4
2023-01-16,4
2023-01-17,54
2023-01-18,58
2023-01-19,67
2023-01-20,84
2023-01-21,7
2023-01-22,4
2023-01-23,53
2023-01-24,61
2023-01-25,62
2023-01-26,73
2023-01-27,82
2023-01-28,7
2023-01-29,4
2023-01-30,54
2023-01-31,57
2023-02-01,57
2023-02-02,70
2023-02-03,99
2023-02-04,8
2023-02-05,5
2023-02-06,62
2023-02-07,73
2023-02-08,77
2023-02-09,80
2023-02-10,94
2023-02-11,9
2023-02-12,6
2023-02-13,55
2023-02-14,75
2023-02-15,80
2023-02-16,80
2023-02-17,87
2023-02-18,9
2023-02-19,5
2023-02-20,12
2023-02-21,51
2023-02-22,58
2023-02-23,65
2023-02-24,80
2023-02-25,8
2023-02-26,5
2023-02-27,62
2023-02-28,64
2023-03-01,66
2023-03-02,76
2023-03-03,88
2023-03-04,9
2023-03-05,5
2023-03-06,64
2023-03-07,67
2023-03-08,69
2023-03-09,79
2023-03-10,90
2023-03-11,8
2023-03-12,5
2023-03-13,42
2023-03-14,53
2023-03-15,56
2023-03-16,59
2023-03-17,64
2023-03-18,6
2023-03-19,4
2023-03-20,51
2023-03-21,62
2023-03-22,68
2023-03-23,72
2023-03-24,85
2023-03-25,7
2023-03-26,4
2023-03-27,51
2023-03-28,59
2023-03-29,66
2023-03-30,86
2023-03-31,79
2023-04-01,6
2023-04-02,3
2023-04-03,47
2023-04-04,54
2023-04-05,61
2023-04-06,68
2023-04-07,22
2023-04-08,3
2023-04-09,3
2023-04-10,35
2023-04-11,53
2023-04-12,55
2023-04-13,66
2023-04-14,79
2023-04-15,6
2023-04-16,3
2023-04-17,60
2023-04-18,73
2023-04-19,74
2023-04-20,79
2023-04-21,94
2023-04-22,6
2023-04-23,4
2023-04-24,70
2023-04-25,72
2023-04-26,79
2023-04-27,82
2023-04-28,96
2023-04-29,7
2023-04-30,4
2023-05-01,75
2023-05-02,70
2023-05-03,74
2023-05-04,80
2023-05-05,88
2023-05-06,6
2023-05-07,4
2023-05-08,72
2023-05-09,66
2023-05-10,76
2023-05-11,81
2023-05-12,100
2023-05-13,6
2023-05-14,5
2023-05-15,80
2023-05-16,77
2023-05-17,81
2023-05-18,81
2023-05-19,85
2023-05-20,6
2023-05-21,4
2023-05-22,68
2023-05-23,69
2023-05-24,66
2023-05-25,60
