Time,rockauto
2022-08-29,88
2022-08-30,83
2022-08-31,84
2022-09-01,79
2022-09-02,83
2022-09-03,86
2022-09-04,81
2022-09-05,85
2022-09-06,86
2022-09-07,85
2022-09-08,74
2022-09-09,75
2022-09-10,86
2022-09-11,79
2022-09-12,84
2022-09-13,81
2022-09-14,87
2022-09-15,77
2022-09-16,84
2022-09-17,93
2022-09-18,86
2022-09-19,85
2022-09-20,90
2022-09-21,87
2022-09-22,77
2022-09-23,79
2022-09-24,89
2022-09-25,85
2022-09-26,86
2022-09-27,84
2022-09-28,78
2022-09-29,76
2022-09-30,79
2022-10-01,84
2022-10-02,78
2022-10-03,81
2022-10-04,86
2022-10-05,86
2022-10-06,82
2022-10-07,83
2022-10-08,93
2022-10-09,82
2022-10-10,85
2022-10-11,82
2022-10-12,88
2022-10-13,80
2022-10-14,75
2022-10-15,85
2022-10-16,82
2022-10-17,85
2022-10-18,81
2022-10-19,84
2022-10-20,81
2022-10-21,80
2022-10-22,90
2022-10-23,83
2022-10-24,82
2022-10-25,80
2022-10-26,80
2022-10-27,85
2022-10-28,74
2022-10-29,84
2022-10-30,81
2022-10-31,80
2022-11-01,78
2022-11-02,78
2022-11-03,80
2022-11-04,78
2022-11-05,85
2022-11-06,81
2022-11-07,79
2022-11-08,73
2022-11-09,65
2022-11-10,73
2022-11-11,77
2022-11-12,80
2022-11-13,74
2022-11-14,73
2022-11-15,73
2022-11-16,78
2022-11-17,75
2022-11-18,71
2022-11-19,79
2022-11-20,72
2022-11-21,72
2022-11-22,73
2022-11-23,76
2022-11-24,64
2022-11-25,77
2022-11-26,73
2022-11-27,69
2022-11-28,73
2022-11-29,74
2022-11-30,71
2022-12-01,70
2022-12-02,69
2022-12-03,71
2022-12-04,68
2022-12-05,70
2022-12-06,71
2022-12-07,67
2022-12-08,69
2022-12-09,68
2022-12-10,75
2022-12-11,69
2022-12-12,70
2022-12-13,67
2022-12-14,67
2022-12-15,67
2022-12-16,67
2022-12-17,75
2022-12-18,74
2022-12-19,69
2022-12-20,67
2022-12-21,66
2022-12-22,63
2022-12-23,59
2022-12-24,49
2022-12-25,45
2022-12-26,69
2022-12-27,81
2022-12-28,83
2022-12-29,89
2022-12-30,82
2022-12-31,78
2023-01-01,63
2023-01-02,91
2023-01-03,74
2023-01-04,75
2023-01-05,81
2023-01-06,81
2023-01-07,82
2023-01-08,78
2023-01-09,76
2023-01-10,78
2023-01-11,79
2023-01-12,72
2023-01-13,72
2023-01-14,76
2023-01-15,73
2023-01-16,82
2023-01-17,77
2023-01-18,71
2023-01-19,73
2023-01-20,76
2023-01-21,87
2023-01-22,76
2023-01-23,72
2023-01-24,75
2023-01-25,74
2023-01-26,70
2023-01-27,73
2023-01-28,82
2023-01-29,81
2023-01-30,71
2023-01-31,73
2023-02-01,70
2023-02-02,74
2023-02-03,72
2023-02-04,83
2023-02-05,90
2023-02-06,84
2023-02-07,77
2023-02-08,78
2023-02-09,79
2023-02-10,80
2023-02-11,90
2023-02-12,81
2023-02-13,76
2023-02-14,79
2023-02-15,78
2023-02-16,84
2023-02-17,78
2023-02-18,100
2023-02-19,87
2023-02-20,97
2023-02-21,85
2023-02-22,85
2023-02-23,81
2023-02-24,85
2023-02-25,90
2023-02-26,89
2023-02-27,89
2023-02-28,85
2023-03-01,88
2023-03-02,80
2023-03-03,80
2023-03-04,90
2023-03-05,96
2023-03-06,90
2023-03-07,91
2023-03-08,87
2023-03-09,86
2023-03-10,79
2023-03-11,91
2023-03-12,84
2023-03-13,77
2023-03-14,77
2023-03-15,79
2023-03-16,88
2023-03-17,79
2023-03-18,91
2023-03-19,87
2023-03-20,84
2023-03-21,81
2023-03-22,87
2023-03-23,88
2023-03-24,82
2023-03-25,90
2023-03-26,91
2023-03-27,86
2023-03-28,87
2023-03-29,84
2023-03-30,82
2023-03-31,79
2023-04-01,88
2023-04-02,84
2023-04-03,88
2023-04-04,83
2023-04-05,79
2023-04-06,83
2023-04-07,80
2023-04-08,92
2023-04-09,84
2023-04-10,87
2023-04-11,84
2023-04-12,89
2023-04-13,85
2023-04-14,87
2023-04-15,90
2023-04-16,91
2023-04-17,84
2023-04-18,83
2023-04-19,82
2023-04-20,81
2023-04-21,80
2023-04-22,91
2023-04-23,88
2023-04-24,83
2023-04-25,82
2023-04-26,80
2023-04-27,77
2023-04-28,75
2023-04-29,87
2023-04-30,84
2023-05-01,79
2023-05-02,77
2023-05-03,76
2023-05-04,78
2023-05-05,80
2023-05-06,90
2023-05-07,87
2023-05-08,86
2023-05-09,86
2023-05-10,86
2023-05-11,79
2023-05-12,79
2023-05-13,87
2023-05-14,87
2023-05-15,85
2023-05-16,88
2023-05-17,88
2023-05-18,83
2023-05-19,85
2023-05-20,90
2023-05-21,88
2023-05-22,83
2023-05-23,87
2023-05-24,81
2023-05-25,83
