Time,maps
2025-12-11,72
2025-12-12,71
2025-12-13,48
2025-12-14,43
2025-12-15,71
2025-12-16,68
2025-12-17,71
2025-12-18,69
2025-12-19,66
2025-12-20,45
2025-12-21,41
2025-12-22,62
2025-12-23,57
2025-12-24,47
2025-12-25,33
2025-12-26,46
2025-12-27,44
2025-12-28,42
2025-12-29,60
2025-12-30,59
2025-12-31,52
2026-01-01,39
2026-01-02,54
2026-01-03,48
2026-01-04,44
2026-01-05,69
2026-01-06,74
2026-01-07,74
2026-01-08,71
2026-01-09,71
2026-01-10,48
2026-01-11,43
2026-01-12,76
2026-01-13,75
2026-01-14,77
2026-01-15,76
2026-01-16,72
2026-01-17,49
2026-01-18,44
2026-01-19,58
2026-01-20,71
2026-01-21,78
2026-01-22,74
2026-01-23,66
2026-01-24,54
2026-01-25,50
2026-01-26,67
2026-01-27,89
2026-01-28,74
2026-01-29,86
2026-01-30,77
2026-01-31,48
2026-02-01,51
2026-02-02,73
2026-02-03,77
2026-02-04,86
2026-02-05,100
2026-02-06,84
2026-02-07,56
2026-02-08,51
2026-02-09,71
2026-02-10,79
2026-02-11,80
2026-02-12,82
2026-02-13,88
2026-02-14,66
2026-02-15,49
2026-02-16,65
2026-02-17,76
2026-02-18,76
2026-02-19,79
2026-02-20,71
2026-02-21,54
2026-02-22,48
2026-02-23,73
2026-02-24,76
2026-02-25,76
2026-02-26,78
2026-02-27,74
2026-02-28,49
2026-03-01,48
2026-03-02,81
2026-03-03,78
2026-03-04,80
2026-03-05,81
2026-03-06,76
2026-03-07,54
2026-03-08,52
2026-03-09,84
2026-03-10,81
2026-03-11,81
2026-03-12,77
2026-03-13,78
2026-03-14,61
2026-03-15,55
2026-03-16,79
2026-03-17,82
2026-03-18,83
2026-03-19,84
2026-03-20,82
2026-03-21,59
2026-03-22,56
2026-03-23,84
2026-03-24,84
2026-03-25,88
2026-03-26,96
2026-03-27,83
2026-03-28,60
2026-03-29,56
2026-03-30,86
2026-03-31,85
2026-04-01,83
2026-04-02,77
2026-04-03,66
2026-04-04,56
2026-04-05,53
2026-04-06,82
2026-04-07,81
2026-04-08,85
2026-04-09,85
2026-04-10,77
2026-04-11,58
2026-04-12,51
2026-04-13,82
2026-04-14,85
2026-04-15,86
2026-04-16,84
2026-04-17,81
2026-04-18,60
2026-04-19,57
2026-04-20,85
2026-04-21,84
2026-04-22,87
2026-04-23,87
2026-04-24,79
2026-04-25,58
2026-04-26,58
2026-04-27,86
2026-04-28,84
2026-04-29,84
2026-04-30,90
2026-05-01,80
2026-05-02,58
2026-05-03,62
2026-05-04,87
2026-05-05,81
2026-05-06,88
2026-05-07,88
2026-05-08,83
2026-05-09,57
2026-05-10,54
2026-05-11,86
2026-05-12,85
2026-05-13,82
2026-05-14,83
2026-05-15,80
2026-05-16,62
2026-05-17,56
2026-05-18,84
2026-05-19,82
2026-05-20,85
2026-05-21,83
2026-05-22,76
2026-05-23,61
2026-05-24,56
2026-05-25,59
2026-05-26,84
2026-05-27,85
2026-05-28,82
2026-05-29,82
2026-05-30,60
2026-05-31,60
