Time,maps
2023-12-22,66
2023-12-23,52
2023-12-24,45
2023-12-25,40
2023-12-26,62
2023-12-27,71
2023-12-28,70
2023-12-29,68
2023-12-30,53
2023-12-31,49
2024-01-01,48
2024-01-02,79
2024-01-03,81
2024-01-04,83
2024-01-05,81
2024-01-06,55
2024-01-07,53
2024-01-08,80
2024-01-09,81
2024-01-10,86
2024-01-11,86
2024-01-12,77
2024-01-13,57
2024-01-14,51
2024-01-15,66
2024-01-16,83
2024-01-17,90
2024-01-18,85
2024-01-19,73
2024-01-20,56
2024-01-21,51
2024-01-22,85
2024-01-23,84
2024-01-24,90
2024-01-25,87
2024-01-26,82
2024-01-27,62
2024-01-28,55
2024-01-29,89
2024-01-30,92
2024-01-31,93
2024-02-01,93
2024-02-02,89
2024-02-03,60
2024-02-04,57
2024-02-05,91
2024-02-06,92
2024-02-07,96
2024-02-08,93
2024-02-09,92
2024-02-10,64
2024-02-11,53
2024-02-12,81
2024-02-13,93
2024-02-14,99
2024-02-15,95
2024-02-16,90
2024-02-17,61
2024-02-18,59
2024-02-19,85
2024-02-20,97
2024-02-21,98
2024-02-22,94
2024-02-23,92
2024-02-24,61
2024-02-25,59
2024-02-26,95
2024-02-27,88
2024-02-28,88
2024-02-29,90
2024-03-01,87
2024-03-02,59
2024-03-03,58
2024-03-04,92
2024-03-05,93
2024-03-06,89
2024-03-07,90
2024-03-08,85
2024-03-09,61
2024-03-10,58
2024-03-11,90
2024-03-12,91
2024-03-13,86
2024-03-14,89
2024-03-15,91
2024-03-16,61
2024-03-17,56
2024-03-18,90
2024-03-19,90
2024-03-20,91
2024-03-21,90
2024-03-22,85
2024-03-23,60
2024-03-24,57
2024-03-25,85
2024-03-26,93
2024-03-27,93
2024-03-28,88
2024-03-29,77
2024-03-30,54
2024-03-31,52
2024-04-01,86
2024-04-02,93
2024-04-03,92
2024-04-04,91
2024-04-05,89
2024-04-06,60
2024-04-07,58
2024-04-08,88
2024-04-09,94
2024-04-10,90
2024-04-11,88
2024-04-12,88
2024-04-13,61
2024-04-14,58
2024-04-15,91
2024-04-16,93
2024-04-17,89
2024-04-18,90
2024-04-19,88
2024-04-20,61
2024-04-21,56
2024-04-22,95
2024-04-23,92
2024-04-24,94
2024-04-25,91
2024-04-26,82
2024-04-27,60
2024-04-28,59
2024-04-29,88
2024-04-30,94
2024-05-01,86
2024-05-02,90
2024-05-03,87
2024-05-04,58
2024-05-05,58
2024-05-06,93
2024-05-07,95
2024-05-08,93
2024-05-09,95
2024-05-10,92
2024-05-11,59
2024-05-12,57
2024-05-13,98
2024-05-14,97
2024-05-15,93
2024-05-16,94
2024-05-17,99
2024-05-18,62
2024-05-19,59
2024-05-20,94
2024-05-21,96
2024-05-22,91
2024-05-23,89
2024-05-24,86
2024-05-25,59
2024-05-26,61
2024-05-27,67
2024-05-28,95
2024-05-29,96
2024-05-30,98
2024-05-31,90
2024-06-01,62
2024-06-02,65
2024-06-03,93
2024-06-04,93
2024-06-05,94
2024-06-06,91
2024-06-07,85
2024-06-08,63
2024-06-09,60
2024-06-10,92
2024-06-11,95
2024-06-12,97
2024-06-13,92
2024-06-14,87
2024-06-15,61
2024-06-16,58
2024-06-17,90
2024-06-18,90
2024-06-19,84
2024-06-20,92
2024-06-21,86
2024-06-22,64
2024-06-23,63
2024-06-24,95
2024-06-25,90
2024-06-26,86
2024-06-27,89
2024-06-28,87
2024-06-29,62
2024-06-30,57
2024-07-01,90
2024-07-02,86
2024-07-03,86
2024-07-04,59
2024-07-05,73
2024-07-06,56
2024-07-07,59
2024-07-08,92
2024-07-09,87
2024-07-10,92
2024-07-11,92
2024-07-12,84
2024-07-13,59
2024-07-14,54
2024-07-15,85
2024-07-16,87
2024-07-17,89
2024-07-18,88
2024-07-19,84
2024-07-20,59
2024-07-21,55
2024-07-22,86
2024-07-23,87
2024-07-24,88
2024-07-25,89
2024-07-26,84
2024-07-27,58
2024-07-28,56
2024-07-29,88
2024-07-30,89
2024-07-31,90
2024-08-01,86
2024-08-02,85
2024-08-03,60
2024-08-04,58
2024-08-05,85
2024-08-06,87
2024-08-07,90
2024-08-08,86
2024-08-09,84
2024-08-10,54
2024-08-11,61
2024-08-12,92
2024-08-13,90
2024-08-14,100
2024-08-15,93
2024-08-16,89
2024-08-17,63
2024-08-18,61
2024-08-19,95
2024-08-20,96
2024-08-21,98
2024-08-22,94
2024-08-23,89
2024-08-24,62
2024-08-25,58
2024-08-26,92
2024-08-27,94
2024-08-28,97
2024-08-29,93
2024-08-30,88
2024-08-31,55
2024-09-01,54
2024-09-02,60
2024-09-03,94
2024-09-04,99
2024-09-05,92
2024-09-06,86
2024-09-07,54
2024-09-08,54
2024-09-09,85
2024-09-10,91
2024-09-11,92
2024-09-12,95
2024-09-13,87
2024-09-14,59
2024-09-15,51
2024-09-16,93
