Time,maps
2023-04-26,88
2023-04-27,85
2023-04-28,79
2023-04-29,56
2023-04-30,53
2023-05-01,85
2023-05-02,89
2023-05-03,86
2023-05-04,86
2023-05-05,81
2023-05-06,58
2023-05-07,54
2023-05-08,87
2023-05-09,91
2023-05-10,87
2023-05-11,85
2023-05-12,86
2023-05-13,57
2023-05-14,53
2023-05-15,100
2023-05-16,94
2023-05-17,93
2023-05-18,93
2023-05-19,88
2023-05-20,60
2023-05-21,60
2023-05-22,89
2023-05-23,89
2023-05-24,84
2023-05-25,92
2023-05-26,82
2023-05-27,60
2023-05-28,57
2023-05-29,58
2023-05-30,90
2023-05-31,89
2023-06-01,87
2023-06-02,86
2023-06-03,62
2023-06-04,61
2023-06-05,92
2023-06-06,88
2023-06-07,90
2023-06-08,88
2023-06-09,84
2023-06-10,62
2023-06-11,61
2023-06-12,89
2023-06-13,89
2023-06-14,88
2023-06-15,91
2023-06-16,83
2023-06-17,61
2023-06-18,55
2023-06-19,81
2023-06-20,91
2023-06-21,87
2023-06-22,83
2023-06-23,87
2023-06-24,60
2023-06-25,60
2023-06-26,88
2023-06-27,92
2023-06-28,87
2023-06-29,91
2023-06-30,81
2023-07-01,60
2023-07-02,56
2023-07-03,72
2023-07-04,58
2023-07-05,88
2023-07-06,87
2023-07-07,87
2023-07-08,61
2023-07-09,56
2023-07-10,82
2023-07-11,83
2023-07-12,86
2023-07-13,87
2023-07-14,85
2023-07-15,60
2023-07-16,58
2023-07-17,84
2023-07-18,77
2023-07-19,80
2023-07-20,76
2023-07-21,73
2023-07-22,57
2023-07-23,56
2023-07-24,78
2023-07-25,76
2023-07-26,77
2023-07-27,74
2023-07-28,74
2023-07-29,57
2023-07-30,52
2023-07-31,75
2023-08-01,75
2023-08-02,76
2023-08-03,75
2023-08-04,76
2023-08-05,53
2023-08-06,53
2023-08-07,78
2023-08-08,77
2023-08-09,79
2023-08-10,73
2023-08-11,77
2023-08-12,50
2023-08-13,53
2023-08-14,75
2023-08-15,78
2023-08-16,82
2023-08-17,81
2023-08-18,76
2023-08-19,57
2023-08-20,55
2023-08-21,83
2023-08-22,84
2023-08-23,79
2023-08-24,79
2023-08-25,75
2023-08-26,53
2023-08-27,51
2023-08-28,80
2023-08-29,81
2023-08-30,76
2023-08-31,82
2023-09-01,76
2023-09-02,51
2023-09-03,48
2023-09-04,50
2023-09-05,83
2023-09-06,77
2023-09-07,79
2023-09-08,74
2023-09-09,52
2023-09-10,47
2023-09-11,77
2023-09-12,78
2023-09-13,77
2023-09-14,80
2023-09-15,73
2023-09-16,51
2023-09-17,47
2023-09-18,75
2023-09-19,75
2023-09-20,76
2023-09-21,80
2023-09-22,75
2023-09-23,52
2023-09-24,49
2023-09-25,76
2023-09-26,74
2023-09-27,76
2023-09-28,77
2023-09-29,70
2023-09-30,50
2023-10-01,44
2023-10-02,75
2023-10-03,73
2023-10-04,78
2023-10-05,73
2023-10-06,72
2023-10-07,52
2023-10-08,47
2023-10-09,72
2023-10-10,78
2023-10-11,80
2023-10-12,74
2023-10-13,71
2023-10-14,51
2023-10-15,47
2023-10-16,72
2023-10-17,71
2023-10-18,72
2023-10-19,74
2023-10-20,70
2023-10-21,48
2023-10-22,45
2023-10-23,71
2023-10-24,72
2023-10-25,72
2023-10-26,72
2023-10-27,69
2023-10-28,46
2023-10-29,41
2023-10-30,70
2023-10-31,70
2023-11-01,70
2023-11-02,67
2023-11-03,66
2023-11-04,45
2023-11-05,43
2023-11-06,70
2023-11-07,74
2023-11-08,70
2023-11-09,70
2023-11-10,63
2023-11-11,47
2023-11-12,43
2023-11-13,67
2023-11-14,69
2023-11-15,72
2023-11-16,67
2023-11-17,66
2023-11-18,48
2023-11-19,42
2023-11-20,64
2023-11-21,64
2023-11-22,57
2023-11-23,38
2023-11-24,40
2023-11-25,41
2023-11-26,41
2023-11-27,67
2023-11-28,67
2023-11-29,66
2023-11-30,67
2023-12-01,63
2023-12-02,44
2023-12-03,41
2023-12-04,69
2023-12-05,74
2023-12-06,74
2023-12-07,70
2023-12-08,73
2023-12-09,47
2023-12-10,42
2023-12-11,74
2023-12-12,75
2023-12-13,76
2023-12-14,66
2023-12-15,67
2023-12-16,45
2023-12-17,42
2023-12-18,66
2023-12-19,64
2023-12-20,65
2023-12-21,61
2023-12-22,54
2023-12-23,43
2023-12-24,37
2023-12-25,33
2023-12-26,50
2023-12-27,58
2023-12-28,57
2023-12-29,55
2023-12-30,43
2023-12-31,40
2024-01-01,39
2024-01-02,64
2024-01-03,66
2024-01-04,68
2024-01-05,66
2024-01-06,44
2024-01-07,43
2024-01-08,65
2024-01-09,66
2024-01-10,70
2024-01-11,70
2024-01-12,62
2024-01-13,46
2024-01-14,41
2024-01-15,54
2024-01-16,67
2024-01-17,73
2024-01-18,69
2024-01-19,59
2024-01-20,46
