Time,maps
2025-04-15,91
2025-04-16,92
2025-04-17,89
2025-04-18,71
2025-04-19,51
2025-04-20,50
2025-04-21,83
2025-04-22,90
2025-04-23,91
2025-04-24,88
2025-04-25,79
2025-04-26,56
2025-04-27,54
2025-04-28,92
2025-04-29,92
2025-04-30,88
2025-05-01,91
2025-05-02,82
2025-05-03,60
2025-05-04,57
2025-05-05,91
2025-05-06,93
2025-05-07,96
2025-05-08,92
2025-05-09,88
2025-05-10,57
2025-05-11,56
2025-05-12,97
2025-05-13,88
2025-05-14,92
2025-05-15,91
2025-05-16,87
2025-05-17,57
2025-05-18,56
2025-05-19,92
2025-05-20,96
2025-05-21,94
2025-05-22,91
2025-05-23,83
2025-05-24,56
2025-05-25,56
2025-05-26,58
2025-05-27,91
2025-05-28,95
2025-05-29,94
2025-05-30,89
2025-05-31,60
2025-06-01,56
2025-06-02,91
2025-06-03,94
2025-06-04,90
2025-06-05,87
2025-06-06,86
2025-06-07,58
2025-06-08,55
2025-06-09,87
2025-06-10,90
2025-06-11,91
2025-06-12,93
2025-06-13,84
2025-06-14,55
2025-06-15,54
2025-06-16,88
2025-06-17,88
2025-06-18,88
2025-06-19,79
2025-06-20,79
2025-06-21,58
2025-06-22,60
2025-06-23,83
2025-06-24,86
2025-06-25,86
2025-06-26,87
2025-06-27,84
2025-06-28,57
2025-06-29,55
2025-06-30,86
2025-07-01,84
2025-07-02,89
2025-07-03,82
2025-07-04,59
2025-07-05,57
2025-07-06,58
2025-07-07,96
2025-07-08,98
2025-07-09,93
2025-07-10,93
2025-07-11,89
2025-07-12,66
2025-07-13,62
2025-07-14,92
2025-07-15,93
2025-07-16,91
2025-07-17,91
2025-07-18,82
2025-07-19,61
2025-07-20,67
2025-07-21,93
2025-07-22,93
2025-07-23,92
2025-07-24,90
2025-07-25,86
2025-07-26,63
2025-07-27,62
2025-07-28,88
2025-07-29,94
2025-07-30,100
2025-07-31,93
2025-08-01,86
2025-08-02,57
2025-08-03,57
2025-08-04,90
2025-08-05,90
2025-08-06,90
2025-08-07,92
2025-08-08,90
2025-08-09,64
2025-08-10,62
2025-08-11,93
2025-08-12,91
2025-08-13,90
2025-08-14,94
2025-08-15,87
2025-08-16,65
2025-08-17,58
2025-08-18,92
2025-08-19,92
2025-08-20,94
2025-08-21,97
2025-08-22,85
2025-08-23,57
2025-08-24,57
2025-08-25,93
2025-08-26,96
2025-08-27,94
2025-08-28,96
2025-08-29,88
2025-08-30,54
2025-08-31,51
2025-09-01,55
2025-09-02,87
2025-09-03,98
2025-09-04,91
2025-09-05,92
2025-09-06,54
2025-09-07,50
2025-09-08,94
2025-09-09,89
2025-09-10,85
2025-09-11,93
2025-09-12,86
2025-09-13,56
2025-09-14,51
2025-09-15,91
2025-09-16,92
2025-09-17,89
2025-09-18,92
2025-09-19,88
2025-09-20,58
2025-09-21,50
2025-09-22,88
2025-09-23,89
2025-09-24,92
2025-09-25,92
2025-09-26,93
2025-09-27,57
2025-09-28,52
2025-09-29,93
2025-09-30,91
2025-10-01,87
2025-10-02,82
2025-10-03,84
2025-10-04,53
2025-10-05,51
2025-10-06,87
2025-10-07,88
2025-10-08,87
2025-10-09,91
2025-10-10,83
2025-10-11,57
2025-10-12,52
2025-10-13,85
2025-10-14,92
2025-10-15,87
2025-10-16,88
2025-10-17,88
2025-10-18,55
2025-10-19,51
2025-10-20,91
2025-10-21,86
2025-10-22,87
2025-10-23,85
2025-10-24,82
2025-10-25,50
2025-10-26,49
2025-10-27,84
2025-10-28,88
2025-10-29,82
2025-10-30,83
2025-10-31,79
2025-11-01,55
2025-11-02,49
2025-11-03,83
2025-11-04,83
2025-11-05,91
2025-11-06,86
2025-11-07,85
2025-11-08,55
2025-11-09,49
2025-11-10,85
2025-11-11,76
2025-11-12,84
2025-11-13,87
2025-11-14,85
2025-11-15,52
2025-11-16,49
2025-11-17,84
2025-11-18,79
2025-11-19,82
2025-11-20,79
2025-11-21,72
2025-11-22,50
2025-11-23,47
2025-11-24,73
2025-11-25,73
2025-11-26,68
2025-11-27,43
2025-11-28,47
2025-11-29,47
2025-11-30,50
2025-12-01,76
2025-12-02,77
2025-12-03,78
2025-12-04,82
2025-12-05,75
2025-12-06,52
2025-12-07,47
2025-12-08,77
2025-12-09,78
2025-12-10,77
2025-12-11,78
2025-12-12,77
2025-12-13,52
2025-12-14,47
2025-12-15,76
2025-12-16,74
2025-12-17,76
2025-12-18,74
2025-12-19,71
2025-12-20,48
2025-12-21,44
2025-12-22,67
2025-12-23,62
2025-12-24,51
2025-12-25,36
2025-12-26,50
2025-12-27,48
2025-12-28,45
2025-12-29,65
2025-12-30,64
2025-12-31,57
2026-01-01,42
2026-01-02,59
2026-01-03,52
2026-01-04,48
2026-01-05,74
2026-01-06,80
2026-01-07,80
2026-01-08,77
2026-01-09,77
