Time,stanley cup finals
2024-08-18,26
2024-08-19,17
2024-08-20,16
2024-08-21,23
2024-08-22,28
2024-08-23,17
2024-08-24,24
2024-08-25,25
2024-08-26,25
2024-08-27,14
2024-08-28,28
2024-08-29,0
2024-08-30,0
2024-08-31,0
2024-09-01,22
2024-09-02,16
2024-09-03,25
2024-09-04,18
2024-09-05,18
2024-09-06,14
2024-09-07,0
2024-09-08,0
2024-09-09,18
2024-09-10,19
2024-09-11,14
2024-09-12,15
2024-09-13,22
2024-09-14,0
2024-09-15,28
2024-09-16,28
2024-09-17,0
2024-09-18,0
2024-09-19,15
2024-09-20,16
2024-09-21,21
2024-09-22,25
2024-09-23,23
2024-09-24,14
2024-09-25,20
2024-09-26,19
2024-09-27,15
2024-09-28,18
2024-09-29,21
2024-09-30,0
2024-10-01,0
2024-10-02,18
2024-10-03,35
2024-10-04,76
2024-10-05,47
2024-10-06,27
2024-10-07,25
2024-10-08,72
2024-10-09,75
2024-10-10,45
2024-10-11,32
2024-10-12,38
2024-10-13,35
2024-10-14,29
2024-10-15,22
2024-10-16,20
2024-10-17,0
2024-10-18,18
2024-10-19,28
2024-10-20,17
2024-10-21,15
2024-10-22,14
2024-10-23,16
2024-10-24,15
2024-10-25,34
2024-10-26,20
2024-10-27,25
2024-10-28,25
2024-10-29,30
2024-10-30,28
2024-10-31,21
2024-11-01,31
2024-11-02,24
2024-11-03,0
2024-11-04,21
2024-11-05,0
2024-11-06,11
2024-11-07,18
2024-11-08,0
2024-11-09,18
2024-11-10,0
2024-11-11,0
2024-11-12,24
2024-11-13,26
2024-11-14,0
2024-11-15,14
2024-11-16,16
2024-11-17,0
2024-11-18,0
2024-11-19,14
2024-11-20,0
2024-11-21,0
2024-11-22,19
2024-11-23,0
2024-11-24,28
2024-11-25,15
2024-11-26,0
2024-11-27,16
2024-11-28,26
2024-11-29,17
2024-11-30,0
2024-12-01,17
2024-12-02,0
2024-12-03,0
2024-12-04,15
2024-12-05,0
2024-12-06,0
2024-12-07,0
2024-12-08,0
2024-12-09,0
2024-12-10,22
2024-12-11,15
2024-12-12,23
2024-12-13,0
2024-12-14,0
2024-12-15,0
2024-12-16,0
2024-12-17,0
2024-12-18,0
2024-12-19,18
2024-12-20,0
2024-12-21,0
2024-12-22,0
2024-12-23,0
2024-12-24,0
2024-12-25,0
2024-12-26,0
2024-12-27,0
2024-12-28,0
2024-12-29,0
2024-12-30,0
2024-12-31,0
2025-01-01,0
2025-01-02,15
2025-01-03,0
2025-01-04,21
2025-01-05,0
2025-01-06,0
2025-01-07,17
2025-01-08,0
2025-01-09,15
2025-01-10,0
2025-01-11,24
2025-01-12,26
2025-01-13,0
2025-01-14,0
2025-01-15,0
2025-01-16,20
2025-01-17,15
2025-01-18,16
2025-01-19,23
2025-01-20,0
2025-01-21,20
2025-01-22,0
2025-01-23,15
2025-01-24,0
2025-01-25,0
2025-01-26,0
2025-01-27,23
2025-01-28,16
2025-01-29,0
2025-01-30,0
2025-01-31,0
2025-02-01,18
2025-02-02,22
2025-02-03,28
2025-02-04,18
2025-02-05,18
2025-02-06,15
2025-02-07,0
2025-02-08,28
2025-02-09,22
2025-02-10,21
2025-02-11,15
2025-02-12,15
2025-02-13,23
2025-02-14,0
2025-02-15,0
2025-02-16,19
2025-02-17,16
2025-02-18,26
2025-02-19,15
2025-02-20,20
2025-02-21,76
2025-02-22,21
2025-02-23,26
2025-02-24,16
2025-02-25,21
2025-02-26,16
2025-02-27,0
2025-02-28,15
2025-03-01,0
2025-03-02,22
2025-03-03,15
2025-03-04,15
2025-03-05,0
2025-03-06,0
2025-03-07,24
2025-03-08,0
2025-03-09,29
2025-03-10,16
2025-03-11,15
2025-03-12,0
2025-03-13,0
2025-03-14,24
2025-03-15,18
2025-03-16,21
2025-03-17,0
2025-03-18,16
2025-03-19,0
2025-03-20,0
2025-03-21,22
2025-03-22,18
2025-03-23,0
2025-03-24,25
2025-03-25,17
2025-03-26,0
2025-03-27,19
2025-03-28,0
2025-03-29,18
2025-03-30,29
2025-03-31,14
2025-04-01,0
2025-04-02,17
2025-04-03,21
2025-04-04,14
2025-04-05,19
2025-04-06,25
2025-04-07,15
2025-04-08,29
2025-04-09,23
2025-04-10,24
2025-04-11,0
2025-04-12,0
2025-04-13,24
2025-04-14,15
2025-04-15,17
2025-04-16,32
2025-04-17,69
2025-04-18,58
2025-04-19,88
2025-04-20,70
2025-04-21,80
2025-04-22,100
2025-04-23,46
2025-04-24,48
2025-04-25,43
2025-04-26,38
2025-04-27,51
2025-04-28,52
2025-04-29,52
2025-04-30,52
2025-05-01,63
2025-05-02,65
2025-05-03,54
2025-05-04,85
2025-05-05,64
2025-05-06,51
2025-05-07,52
2025-05-08,61
2025-05-09,60
2025-05-10,65
2025-05-11,75
2025-05-12,51
2025-05-13,59
2025-05-14,61
