Time,translate
2023-12-22,66
2023-12-23,57
2023-12-24,59
2023-12-25,58
2023-12-26,57
2023-12-27,60
2023-12-28,60
2023-12-29,61
2023-12-30,55
2023-12-31,55
2024-01-01,57
2024-01-02,69
2024-01-03,70
2024-01-04,81
2024-01-05,74
2024-01-06,58
2024-01-07,56
2024-01-08,82
2024-01-09,83
2024-01-10,93
2024-01-11,96
2024-01-12,91
2024-01-13,58
2024-01-14,55
2024-01-15,58
2024-01-16,78
2024-01-17,87
2024-01-18,91
2024-01-19,88
2024-01-20,59
2024-01-21,60
2024-01-22,94
2024-01-23,100
2024-01-24,98
2024-01-25,96
2024-01-26,89
2024-01-27,54
2024-01-28,55
2024-01-29,87
2024-01-30,96
2024-01-31,94
2024-02-01,91
2024-02-02,92
2024-02-03,57
2024-02-04,56
2024-02-05,90
2024-02-06,92
2024-02-07,97
2024-02-08,99
2024-02-09,89
2024-02-10,58
2024-02-11,53
2024-02-12,83
2024-02-13,92
2024-02-14,94
2024-02-15,95
2024-02-16,84
2024-02-17,54
2024-02-18,54
2024-02-19,68
2024-02-20,87
2024-02-21,94
2024-02-22,91
2024-02-23,86
2024-02-24,57
2024-02-25,56
2024-02-26,96
2024-02-27,94
2024-02-28,89
2024-02-29,93
2024-03-01,86
2024-03-02,56
2024-03-03,57
2024-03-04,91
2024-03-05,89
2024-03-06,93
2024-03-07,92
2024-03-08,88
2024-03-09,57
2024-03-10,50
2024-03-11,83
2024-03-12,89
2024-03-13,87
2024-03-14,83
2024-03-15,79
2024-03-16,54
2024-03-17,57
2024-03-18,88
2024-03-19,88
2024-03-20,86
2024-03-21,82
2024-03-22,82
2024-03-23,53
2024-03-24,55
2024-03-25,83
2024-03-26,82
2024-03-27,84
2024-03-28,80
2024-03-29,64
2024-03-30,52
2024-03-31,53
2024-04-01,74
2024-04-02,80
2024-04-03,83
2024-04-04,81
2024-04-05,80
2024-04-06,52
2024-04-07,54
2024-04-08,75
2024-04-09,87
2024-04-10,91
2024-04-11,85
2024-04-12,86
2024-04-13,54
2024-04-14,55
2024-04-15,87
2024-04-16,88
2024-04-17,87
2024-04-18,87
2024-04-19,86
2024-04-20,55
2024-04-21,55
2024-04-22,85
2024-04-23,88
2024-04-24,93
2024-04-25,84
2024-04-26,85
2024-04-27,51
2024-04-28,55
2024-04-29,84
2024-04-30,89
2024-05-01,87
2024-05-02,88
2024-05-03,85
2024-05-04,54
2024-05-05,55
2024-05-06,87
2024-05-07,91
2024-05-08,89
2024-05-09,91
2024-05-10,88
2024-05-11,57
2024-05-12,59
2024-05-13,88
2024-05-14,93
2024-05-15,88
2024-05-16,88
2024-05-17,83
2024-05-18,55
2024-05-19,58
2024-05-20,83
2024-05-21,83
2024-05-22,80
2024-05-23,82
2024-05-24,76
2024-05-25,53
2024-05-26,52
2024-05-27,55
2024-05-28,79
2024-05-29,80
2024-05-30,79
2024-05-31,75
2024-06-01,54
2024-06-02,53
2024-06-03,73
2024-06-04,72
2024-06-05,73
2024-06-06,73
2024-06-07,69
2024-06-08,55
2024-06-09,53
2024-06-10,68
2024-06-11,69
2024-06-12,68
2024-06-13,69
2024-06-14,63
2024-06-15,56
2024-06-16,58
2024-06-17,64
2024-06-18,63
2024-06-19,64
2024-06-20,62
2024-06-21,62
2024-06-22,53
2024-06-23,54
2024-06-24,62
2024-06-25,58
2024-06-26,61
2024-06-27,62
2024-06-28,62
2024-06-29,51
2024-06-30,51
2024-07-01,62
2024-07-02,60
2024-07-03,60
2024-07-04,53
2024-07-05,57
2024-07-06,52
2024-07-07,50
2024-07-08,61
2024-07-09,60
2024-07-10,61
2024-07-11,63
2024-07-12,59
2024-07-13,50
2024-07-14,47
2024-07-15,60
2024-07-16,61
2024-07-17,61
2024-07-18,64
2024-07-19,59
2024-07-20,50
2024-07-21,50
2024-07-22,56
2024-07-23,59
2024-07-24,62
2024-07-25,62
2024-07-26,59
2024-07-27,51
2024-07-28,48
2024-07-29,57
2024-07-30,61
2024-07-31,60
2024-08-01,62
2024-08-02,60
2024-08-03,51
2024-08-04,47
2024-08-05,62
2024-08-06,63
2024-08-07,66
2024-08-08,63
2024-08-09,61
2024-08-10,50
2024-08-11,51
2024-08-12,66
2024-08-13,66
2024-08-14,69
2024-08-15,72
2024-08-16,70
2024-08-17,51
2024-08-18,50
2024-08-19,72
2024-08-20,74
2024-08-21,75
2024-08-22,75
2024-08-23,74
2024-08-24,50
2024-08-25,54
2024-08-26,75
2024-08-27,81
2024-08-28,81
2024-08-29,77
2024-08-30,76
2024-08-31,48
2024-09-01,51
2024-09-02,54
2024-09-03,78
2024-09-04,78
2024-09-05,82
2024-09-06,84
2024-09-07,52
2024-09-08,52
2024-09-09,82
2024-09-10,88
2024-09-11,88
2024-09-12,90
2024-09-13,86
2024-09-14,52
2024-09-15,52
2024-09-16,83
