Time,election map
2023-12-22,13
2023-12-23,8
2023-12-24,7
2023-12-25,11
2023-12-26,9
2023-12-27,8
2023-12-28,8
2023-12-29,34
2023-12-30,13
2023-12-31,12
2024-01-01,11
2024-01-02,12
2024-01-03,16
2024-01-04,15
2024-01-05,16
2024-01-06,16
2024-01-07,11
2024-01-08,16
2024-01-09,16
2024-01-10,17
2024-01-11,17
2024-01-12,12
2024-01-13,13
2024-01-14,12
2024-01-15,12
2024-01-16,37
2024-01-17,28
2024-01-18,25
2024-01-19,19
2024-01-20,18
2024-01-21,17
2024-01-22,22
2024-01-23,22
2024-01-24,47
2024-01-25,28
2024-01-26,27
2024-01-27,21
2024-01-28,18
2024-01-29,18
2024-01-30,19
2024-01-31,18
2024-02-01,18
2024-02-02,22
2024-02-03,15
2024-02-04,23
2024-02-05,20
2024-02-06,22
2024-02-07,24
2024-02-08,21
2024-02-09,20
2024-02-10,15
2024-02-11,14
2024-02-12,18
2024-02-13,18
2024-02-14,26
2024-02-15,15
2024-02-16,14
2024-02-17,13
2024-02-18,16
2024-02-19,17
2024-02-20,20
2024-02-21,18
2024-02-22,18
2024-02-23,14
2024-02-24,16
2024-02-25,24
2024-02-26,25
2024-02-27,28
2024-02-28,27
2024-02-29,27
2024-03-01,21
2024-03-02,15
2024-03-03,17
2024-03-04,30
2024-03-05,43
2024-03-06,100
2024-03-07,42
2024-03-08,31
2024-03-09,22
2024-03-10,18
2024-03-11,18
2024-03-12,19
2024-03-13,28
2024-03-14,24
2024-03-15,21
2024-03-16,14
2024-03-17,16
2024-03-18,23
2024-03-19,23
2024-03-20,31
2024-03-21,18
2024-03-22,20
2024-03-23,15
2024-03-24,15
2024-03-25,20
2024-03-26,21
2024-03-27,24
2024-03-28,21
2024-03-29,11
2024-03-30,11
2024-03-31,12
2024-04-01,20
2024-04-02,23
2024-04-03,30
2024-04-04,21
2024-04-05,17
2024-04-06,12
2024-04-07,14
2024-04-08,18
2024-04-09,21
2024-04-10,21
2024-04-11,20
2024-04-12,18
2024-04-13,17
2024-04-14,16
2024-04-15,27
2024-04-16,20
2024-04-17,21
2024-04-18,17
2024-04-19,16
2024-04-20,15
2024-04-21,13
2024-04-22,17
2024-04-23,23
2024-04-24,22
2024-04-25,23
2024-04-26,19
2024-04-27,12
2024-04-28,14
2024-04-29,23
2024-04-30,20
2024-05-01,12
2024-05-02,16
2024-05-03,15
2024-05-04,12
2024-05-05,17
2024-05-06,15
2024-05-07,18
2024-05-08,21
2024-05-09,18
2024-05-10,13
2024-05-11,12
2024-05-12,14
2024-05-13,25
2024-05-14,19
2024-05-15,22
2024-05-16,22
2024-05-17,17
2024-05-18,13
2024-05-19,12
2024-05-20,17
2024-05-21,19
2024-05-22,25
2024-05-23,15
2024-05-24,20
2024-05-25,16
2024-05-26,15
2024-05-27,15
2024-05-28,16
2024-05-29,20
2024-05-30,17
2024-05-31,20
2024-06-01,14
2024-06-02,24
2024-06-03,28
2024-06-04,46
2024-06-05,26
2024-06-06,26
2024-06-07,16
2024-06-08,16
2024-06-09,20
2024-06-10,26
2024-06-11,22
2024-06-12,21
2024-06-13,18
2024-06-14,19
2024-06-15,15
2024-06-16,18
2024-06-17,20
2024-06-18,20
2024-06-19,24
2024-06-20,22
2024-06-21,17
2024-06-22,14
2024-06-23,13
2024-06-24,16
2024-06-25,21
2024-06-26,27
2024-06-27,23
2024-06-28,50
2024-06-29,27
2024-06-30,32
2024-07-01,36
2024-07-02,33
2024-07-03,34
2024-07-04,39
2024-07-05,78
2024-07-06,33
2024-07-07,40
2024-07-08,40
2024-07-09,28
2024-07-10,26
2024-07-11,22
2024-07-12,30
2024-07-13,31
2024-07-14,63
2024-07-15,64
2024-07-16,62
2024-07-17,64
2024-07-18,52
2024-07-19,48
2024-07-20,36
2024-07-21,79
2024-07-22,78
2024-07-23,74
2024-07-24,68
2024-07-25,61
2024-07-26,53
2024-07-27,49
2024-07-28,46
2024-07-29,50
2024-07-30,41
2024-07-31,48
2024-08-01,46
2024-08-02,42
2024-08-03,38
2024-08-04,46
2024-08-05,36
2024-08-06,71
2024-08-07,79
2024-08-08,57
2024-08-09,52
2024-08-10,50
2024-08-11,60
2024-08-12,47
2024-08-13,53
2024-08-14,52
2024-08-15,43
2024-08-16,35
2024-08-17,41
2024-08-18,37
2024-08-19,35
2024-08-20,48
2024-08-21,56
2024-08-22,47
2024-08-23,52
2024-08-24,45
2024-08-25,43
2024-08-26,41
2024-08-27,40
2024-08-28,40
2024-08-29,43
2024-08-30,36
2024-08-31,32
2024-09-01,38
2024-09-02,33
2024-09-03,35
2024-09-04,45
2024-09-05,35
2024-09-06,33
2024-09-07,29
2024-09-08,30
2024-09-09,36
2024-09-10,39
2024-09-11,71
2024-09-12,53
2024-09-13,56
2024-09-14,48
2024-09-15,40
2024-09-16,36
