Time,quest diagnostics
2022-08-29,86
2022-08-30,81
2022-08-31,84
2022-09-01,80
2022-09-02,75
2022-09-03,39
2022-09-04,23
2022-09-05,33
2022-09-06,82
2022-09-07,83
2022-09-08,77
2022-09-09,71
2022-09-10,35
2022-09-11,24
2022-09-12,79
2022-09-13,80
2022-09-14,82
2022-09-15,75
2022-09-16,78
2022-09-17,36
2022-09-18,24
2022-09-19,80
2022-09-20,88
2022-09-21,79
2022-09-22,75
2022-09-23,80
2022-09-24,40
2022-09-25,27
2022-09-26,84
2022-09-27,85
2022-09-28,72
2022-09-29,71
2022-09-30,68
2022-10-01,35
2022-10-02,25
2022-10-03,87
2022-10-04,79
2022-10-05,78
2022-10-06,77
2022-10-07,79
2022-10-08,37
2022-10-09,25
2022-10-10,78
2022-10-11,77
2022-10-12,80
2022-10-13,78
2022-10-14,74
2022-10-15,37
2022-10-16,25
2022-10-17,86
2022-10-18,82
2022-10-19,82
2022-10-20,77
2022-10-21,74
2022-10-22,37
2022-10-23,24
2022-10-24,79
2022-10-25,76
2022-10-26,77
2022-10-27,77
2022-10-28,73
2022-10-29,36
2022-10-30,23
2022-10-31,77
2022-11-01,78
2022-11-02,80
2022-11-03,79
2022-11-04,78
2022-11-05,39
2022-11-06,24
2022-11-07,76
2022-11-08,78
2022-11-09,71
2022-11-10,74
2022-11-11,75
2022-11-12,37
2022-11-13,23
2022-11-14,81
2022-11-15,82
2022-11-16,76
2022-11-17,78
2022-11-18,75
2022-11-19,38
2022-11-20,26
2022-11-21,74
2022-11-22,77
2022-11-23,68
2022-11-24,20
2022-11-25,43
2022-11-26,25
2022-11-27,24
2022-11-28,83
2022-11-29,72
2022-11-30,71
2022-12-01,80
2022-12-02,69
2022-12-03,38
2022-12-04,24
2022-12-05,76
2022-12-06,78
2022-12-07,74
2022-12-08,79
2022-12-09,69
2022-12-10,38
2022-12-11,21
2022-12-12,78
2022-12-13,73
2022-12-14,70
2022-12-15,73
2022-12-16,69
2022-12-17,37
2022-12-18,21
2022-12-19,71
2022-12-20,72
2022-12-21,69
2022-12-22,65
2022-12-23,49
2022-12-24,19
2022-12-25,12
2022-12-26,39
2022-12-27,74
2022-12-28,77
2022-12-29,74
2022-12-30,65
2022-12-31,27
2023-01-01,19
2023-01-02,51
2023-01-03,85
2023-01-04,81
2023-01-05,82
2023-01-06,76
2023-01-07,38
2023-01-08,27
2023-01-09,80
2023-01-10,93
2023-01-11,82
2023-01-12,78
2023-01-13,78
2023-01-14,39
2023-01-15,26
2023-01-16,84
2023-01-17,79
2023-01-18,79
2023-01-19,86
2023-01-20,78
2023-01-21,43
2023-01-22,23
2023-01-23,83
2023-01-24,80
2023-01-25,78
2023-01-26,75
2023-01-27,76
2023-01-28,40
2023-01-29,26
2023-01-30,78
2023-01-31,77
2023-02-01,87
2023-02-02,78
2023-02-03,77
2023-02-04,41
2023-02-05,26
2023-02-06,83
2023-02-07,84
2023-02-08,83
2023-02-09,78
2023-02-10,76
2023-02-11,43
2023-02-12,24
2023-02-13,80
2023-02-14,80
2023-02-15,84
2023-02-16,81
2023-02-17,85
2023-02-18,43
2023-02-19,31
2023-02-20,83
2023-02-21,83
2023-02-22,79
2023-02-23,74
2023-02-24,90
2023-02-25,40
2023-02-26,27
2023-02-27,82
2023-02-28,80
2023-03-01,97
2023-03-02,77
2023-03-03,82
2023-03-04,42
2023-03-05,27
2023-03-06,83
2023-03-07,84
2023-03-08,84
2023-03-09,89
2023-03-10,75
2023-03-11,40
2023-03-12,27
2023-03-13,84
2023-03-14,82
2023-03-15,79
2023-03-16,91
2023-03-17,78
2023-03-18,39
2023-03-19,28
2023-03-20,80
2023-03-21,81
2023-03-22,81
2023-03-23,82
2023-03-24,75
2023-03-25,37
2023-03-26,27
2023-03-27,82
2023-03-28,85
2023-03-29,80
2023-03-30,84
2023-03-31,72
2023-04-01,40
2023-04-02,27
2023-04-03,79
2023-04-04,82
2023-04-05,77
2023-04-06,81
2023-04-07,73
2023-04-08,36
2023-04-09,23
2023-04-10,88
2023-04-11,83
2023-04-12,87
2023-04-13,76
2023-04-14,78
2023-04-15,37
2023-04-16,26
2023-04-17,81
2023-04-18,79
2023-04-19,77
2023-04-20,80
2023-04-21,75
2023-04-22,38
2023-04-23,26
2023-04-24,83
2023-04-25,81
2023-04-26,83
2023-04-27,75
2023-04-28,71
2023-04-29,39
2023-04-30,26
2023-05-01,100
2023-05-02,82
2023-05-03,77
2023-05-04,80
2023-05-05,72
2023-05-06,37
2023-05-07,25
2023-05-08,82
2023-05-09,83
2023-05-10,81
2023-05-11,75
2023-05-12,73
2023-05-13,39
2023-05-14,22
2023-05-15,85
2023-05-16,87
2023-05-17,78
2023-05-18,77
2023-05-19,79
2023-05-20,38
2023-05-21,30
2023-05-22,82
2023-05-23,87
2023-05-24,76
2023-05-25,88
