Time,quest diagnostics
2022-01-01,25
2022-01-02,29
2022-01-03,87
2022-01-04,100
2022-01-05,92
2022-01-06,74
2022-01-07,75
2022-01-08,41
2022-01-09,28
2022-01-10,77
2022-01-11,78
2022-01-12,77
2022-01-13,73
2022-01-14,65
2022-01-15,37
2022-01-16,22
2022-01-17,62
2022-01-18,66
2022-01-19,67
2022-01-20,65
2022-01-21,62
2022-01-22,34
2022-01-23,22
2022-01-24,82
2022-01-25,63
2022-01-26,66
2022-01-27,64
2022-01-28,69
2022-01-29,34
2022-01-30,22
2022-01-31,67
2022-02-01,71
2022-02-02,68
2022-02-03,68
2022-02-04,68
2022-02-05,34
2022-02-06,22
2022-02-07,72
2022-02-08,75
2022-02-09,70
2022-02-10,61
2022-02-11,65
2022-02-12,35
2022-02-13,19
2022-02-14,59
2022-02-15,68
2022-02-16,75
2022-02-17,66
2022-02-18,64
2022-02-19,37
2022-02-20,22
2022-02-21,67
2022-02-22,66
2022-02-23,65
2022-02-24,63
2022-02-25,61
2022-02-26,33
2022-02-27,20
2022-02-28,76
2022-03-01,64
2022-03-02,70
2022-03-03,69
2022-03-04,63
2022-03-05,32
2022-03-06,21
2022-03-07,70
2022-03-08,69
2022-03-09,66
2022-03-10,67
2022-03-11,64
2022-03-12,33
2022-03-13,20
2022-03-14,67
2022-03-15,68
2022-03-16,64
2022-03-17,66
2022-03-18,60
2022-03-19,31
2022-03-20,22
2022-03-21,70
2022-03-22,71
2022-03-23,66
2022-03-24,67
2022-03-25,61
2022-03-26,28
2022-03-27,20
2022-03-28,61
2022-03-29,65
2022-03-30,67
2022-03-31,58
2022-04-01,58
2022-04-02,29
2022-04-03,19
2022-04-04,66
2022-04-05,65
2022-04-06,64
2022-04-07,62
2022-04-08,64
2022-04-09,32
2022-04-10,20
2022-04-11,65
2022-04-12,67
2022-04-13,64
2022-04-14,64
2022-04-15,57
2022-04-16,27
2022-04-17,18
2022-04-18,65
2022-04-19,67
2022-04-20,61
2022-04-21,59
2022-04-22,59
2022-04-23,28
2022-04-24,20
2022-04-25,67
2022-04-26,67
2022-04-27,64
2022-04-28,59
2022-04-29,55
2022-04-30,28
2022-05-01,20
2022-05-02,62
2022-05-03,62
2022-05-04,57
2022-05-05,62
2022-05-06,57
2022-05-07,29
2022-05-08,18
2022-05-09,64
2022-05-10,70
2022-05-11,60
2022-05-12,63
2022-05-13,60
2022-05-14,32
2022-05-15,20
2022-05-16,82
2022-05-17,68
2022-05-18,63
2022-05-19,63
2022-05-20,63
2022-05-21,32
2022-05-22,19
2022-05-23,70
2022-05-24,68
2022-05-25,63
2022-05-26,67
2022-05-27,59
2022-05-28,29
2022-05-29,19
2022-05-30,30
2022-05-31,72
2022-06-01,76
2022-06-02,70
2022-06-03,65
2022-06-04,33
2022-06-05,21
2022-06-06,68
2022-06-07,70
2022-06-08,68
2022-06-09,68
2022-06-10,66
2022-06-11,31
2022-06-12,24
2022-06-13,72
2022-06-14,71
2022-06-15,73
2022-06-16,71
2022-06-17,66
2022-06-18,31
2022-06-19,20
2022-06-20,72
2022-06-21,69
2022-06-22,68
2022-06-23,69
2022-06-24,62
2022-06-25,32
2022-06-26,21
2022-06-27,73
2022-06-28,72
2022-06-29,68
2022-06-30,68
2022-07-01,68
2022-07-02,32
2022-07-03,19
2022-07-04,24
2022-07-05,79
2022-07-06,82
2022-07-07,79
2022-07-08,70
2022-07-09,32
2022-07-10,25
2022-07-11,89
2022-07-12,75
2022-07-13,75
2022-07-14,71
2022-07-15,70
2022-07-16,34
2022-07-17,24
2022-07-18,75
2022-07-19,80
2022-07-20,72
2022-07-21,71
2022-07-22,69
2022-07-23,33
2022-07-24,24
2022-07-25,80
2022-07-26,74
2022-07-27,72
2022-07-28,73
2022-07-29,70
2022-07-30,31
2022-07-31,21
2022-08-01,90
2022-08-02,74
2022-08-03,78
2022-08-04,74
2022-08-05,68
2022-08-06,39
2022-08-07,22
2022-08-08,71
2022-08-09,80
2022-08-10,76
2022-08-11,74
2022-08-12,69
2022-08-13,36
2022-08-14,23
2022-08-15,79
2022-08-16,74
2022-08-17,80
2022-08-18,77
2022-08-19,69
2022-08-20,33
2022-08-21,23
2022-08-22,73
2022-08-23,75
2022-08-24,79
2022-08-25,74
2022-08-26,67
2022-08-27,32
2022-08-28,22
2022-08-29,74
2022-08-30,69
2022-08-31,72
2022-09-01,68
2022-09-02,65
2022-09-03,33
2022-09-04,20
2022-09-05,28
2022-09-06,71
2022-09-07,71
2022-09-08,66
2022-09-09,61
2022-09-10,30
2022-09-11,21
2022-09-12,68
2022-09-13,69
2022-09-14,70
2022-09-15,65
2022-09-16,67
2022-09-17,31
2022-09-18,21
2022-09-19,69
2022-09-20,75
2022-09-21,68
2022-09-22,64
2022-09-23,68
2022-09-24,34
2022-09-25,23
2022-09-26,72
2022-09-27,72
