Time,quest diagnostics
2023-04-26,83
2023-04-27,75
2023-04-28,71
2023-04-29,39
2023-04-30,26
2023-05-01,100
2023-05-02,82
2023-05-03,77
2023-05-04,80
2023-05-05,72
2023-05-06,37
2023-05-07,25
2023-05-08,82
2023-05-09,83
2023-05-10,81
2023-05-11,75
2023-05-12,73
2023-05-13,39
2023-05-14,22
2023-05-15,85
2023-05-16,87
2023-05-17,78
2023-05-18,77
2023-05-19,79
2023-05-20,38
2023-05-21,30
2023-05-22,82
2023-05-23,87
2023-05-24,76
2023-05-25,88
2023-05-26,75
2023-05-27,38
2023-05-28,22
2023-05-29,32
2023-05-30,90
2023-05-31,87
2023-06-01,84
2023-06-02,75
2023-06-03,38
2023-06-04,27
2023-06-05,86
2023-06-06,82
2023-06-07,84
2023-06-08,82
2023-06-09,81
2023-06-10,36
2023-06-11,25
2023-06-12,84
2023-06-13,84
2023-06-14,82
2023-06-15,80
2023-06-16,76
2023-06-17,35
2023-06-18,22
2023-06-19,79
2023-06-20,82
2023-06-21,81
2023-06-22,77
2023-06-23,77
2023-06-24,38
2023-06-25,24
2023-06-26,85
2023-06-27,81
2023-06-28,79
2023-06-29,81
2023-06-30,72
2023-07-01,34
2023-07-02,25
2023-07-03,73
2023-07-04,32
2023-07-05,81
2023-07-06,87
2023-07-07,80
2023-07-08,39
2023-07-09,28
2023-07-10,91
2023-07-11,93
2023-07-12,82
2023-07-13,85
2023-07-14,79
2023-07-15,38
2023-07-16,28
2023-07-17,81
2023-07-18,86
2023-07-19,92
2023-07-20,80
2023-07-21,78
2023-07-22,37
2023-07-23,28
2023-07-24,94
2023-07-25,84
2023-07-26,84
2023-07-27,75
2023-07-28,78
2023-07-29,39
2023-07-30,26
2023-07-31,83
2023-08-01,87
2023-08-02,80
2023-08-03,86
2023-08-04,82
2023-08-05,39
2023-08-06,27
2023-08-07,88
2023-08-08,87
2023-08-09,81
2023-08-10,83
2023-08-11,80
2023-08-12,36
2023-08-13,28
2023-08-14,83
2023-08-15,81
2023-08-16,84
2023-08-17,81
2023-08-18,81
2023-08-19,41
2023-08-20,27
2023-08-21,83
2023-08-22,83
2023-08-23,85
2023-08-24,76
2023-08-25,75
2023-08-26,38
2023-08-27,27
2023-08-28,79
2023-08-29,79
2023-08-30,75
2023-08-31,78
2023-09-01,74
2023-09-02,38
2023-09-03,21
2023-09-04,32
2023-09-05,91
2023-09-06,89
2023-09-07,84
2023-09-08,74
2023-09-09,40
2023-09-10,26
2023-09-11,86
2023-09-12,79
2023-09-13,82
2023-09-14,78
2023-09-15,76
2023-09-16,40
2023-09-17,26
2023-09-18,83
2023-09-19,82
2023-09-20,79
2023-09-21,77
2023-09-22,80
2023-09-23,41
2023-09-24,28
2023-09-25,81
2023-09-26,84
2023-09-27,76
2023-09-28,77
2023-09-29,74
2023-09-30,40
2023-10-01,27
2023-10-02,82
2023-10-03,89
2023-10-04,84
2023-10-05,86
2023-10-06,77
2023-10-07,39
2023-10-08,27
2023-10-09,77
2023-10-10,81
2023-10-11,80
2023-10-12,78
2023-10-13,75
2023-10-14,40
2023-10-15,26
2023-10-16,82
2023-10-17,87
2023-10-18,79
2023-10-19,79
2023-10-20,74
2023-10-21,37
2023-10-22,26
2023-10-23,88
2023-10-24,84
2023-10-25,76
2023-10-26,77
2023-10-27,75
2023-10-28,37
2023-10-29,26
2023-10-30,78
2023-10-31,76
2023-11-01,79
2023-11-02,83
2023-11-03,76
2023-11-04,42
2023-11-05,28
2023-11-06,84
2023-11-07,91
2023-11-08,81
2023-11-09,85
2023-11-10,78
2023-11-11,39
2023-11-12,26
2023-11-13,89
2023-11-14,80
2023-11-15,80
2023-11-16,77
2023-11-17,76
2023-11-18,41
2023-11-19,28
2023-11-20,85
2023-11-21,77
2023-11-22,69
2023-11-23,25
2023-11-24,42
2023-11-25,30
2023-11-26,27
2023-11-27,77
2023-11-28,79
2023-11-29,79
2023-11-30,78
2023-12-01,73
2023-12-02,40
2023-12-03,26
2023-12-04,78
2023-12-05,78
2023-12-06,74
2023-12-07,75
2023-12-08,71
2023-12-09,38
2023-12-10,25
2023-12-11,71
2023-12-12,80
2023-12-13,77
2023-12-14,70
2023-12-15,71
2023-12-16,39
2023-12-17,24
2023-12-18,66
2023-12-19,67
2023-12-20,65
2023-12-21,67
2023-12-22,60
2023-12-23,30
2023-12-24,16
2023-12-25,18
2023-12-26,68
2023-12-27,69
2023-12-28,69
2023-12-29,70
2023-12-30,33
2023-12-31,18
2024-01-01,25
2024-01-02,73
2024-01-03,80
2024-01-04,82
2024-01-05,78
2024-01-06,37
2024-01-07,26
2024-01-08,77
2024-01-09,76
2024-01-10,78
2024-01-11,75
2024-01-12,74
2024-01-13,40
2024-01-14,26
2024-01-15,67
2024-01-16,69
2024-01-17,74
2024-01-18,74
2024-01-19,72
2024-01-20,38
