Time,disney world
2023-04-26,83
2023-04-27,77
2023-04-28,69
2023-04-29,76
2023-04-30,91
2023-05-01,73
2023-05-02,73
2023-05-03,77
2023-05-04,81
2023-05-05,70
2023-05-06,71
2023-05-07,78
2023-05-08,73
2023-05-09,76
2023-05-10,75
2023-05-11,64
2023-05-12,65
2023-05-13,79
2023-05-14,79
2023-05-15,82
2023-05-16,81
2023-05-17,86
2023-05-18,83
2023-05-19,76
2023-05-20,100
2023-05-21,95
2023-05-22,70
2023-05-23,72
2023-05-24,69
2023-05-25,72
2023-05-26,67
2023-05-27,77
2023-05-28,76
2023-05-29,82
2023-05-30,77
2023-05-31,93
2023-06-01,78
2023-06-02,76
2023-06-03,79
2023-06-04,81
2023-06-05,75
2023-06-06,70
2023-06-07,69
2023-06-08,69
2023-06-09,65
2023-06-10,70
2023-06-11,81
2023-06-12,75
2023-06-13,72
2023-06-14,69
2023-06-15,75
2023-06-16,70
2023-06-17,71
2023-06-18,82
2023-06-19,78
2023-06-20,69
2023-06-21,69
2023-06-22,66
2023-06-23,67
2023-06-24,70
2023-06-25,76
2023-06-26,69
2023-06-27,68
2023-06-28,68
2023-06-29,64
2023-06-30,62
2023-07-01,65
2023-07-02,76
2023-07-03,64
2023-07-04,77
2023-07-05,77
2023-07-06,68
2023-07-07,66
2023-07-08,77
2023-07-09,85
2023-07-10,74
2023-07-11,71
2023-07-12,68
2023-07-13,66
2023-07-14,66
2023-07-15,73
2023-07-16,84
2023-07-17,71
2023-07-18,70
2023-07-19,66
2023-07-20,72
2023-07-21,68
2023-07-22,70
2023-07-23,77
2023-07-24,67
2023-07-25,63
2023-07-26,63
2023-07-27,63
2023-07-28,60
2023-07-29,71
2023-07-30,80
2023-07-31,66
2023-08-01,67
2023-08-02,60
2023-08-03,65
2023-08-04,62
2023-08-05,66
2023-08-06,77
2023-08-07,65
2023-08-08,61
2023-08-09,58
2023-08-10,57
2023-08-11,58
2023-08-12,64
2023-08-13,75
2023-08-14,64
2023-08-15,59
2023-08-16,66
2023-08-17,57
2023-08-18,56
2023-08-19,63
2023-08-20,77
2023-08-21,58
2023-08-22,61
2023-08-23,55
2023-08-24,54
2023-08-25,53
2023-08-26,61
2023-08-27,70
2023-08-28,61
2023-08-29,66
2023-08-30,71
2023-08-31,54
2023-09-01,55
2023-09-02,59
2023-09-03,69
2023-09-04,82
2023-09-05,60
2023-09-06,57
2023-09-07,54
2023-09-08,54
2023-09-09,64
2023-09-10,81
2023-09-11,64
2023-09-12,63
2023-09-13,60
2023-09-14,56
2023-09-15,60
2023-09-16,63
2023-09-17,70
2023-09-18,73
2023-09-19,71
2023-09-20,61
2023-09-21,61
2023-09-22,55
2023-09-23,67
2023-09-24,72
2023-09-25,63
2023-09-26,65
2023-09-27,65
2023-09-28,58
2023-09-29,60
2023-09-30,62
2023-10-01,72
2023-10-02,61
2023-10-03,61
2023-10-04,62
2023-10-05,64
2023-10-06,61
2023-10-07,65
2023-10-08,73
2023-10-09,64
2023-10-10,60
2023-10-11,70
2023-10-12,61
2023-10-13,56
2023-10-14,72
2023-10-15,75
2023-10-16,68
2023-10-17,60
2023-10-18,59
2023-10-19,58
2023-10-20,61
2023-10-21,69
2023-10-22,77
2023-10-23,60
2023-10-24,58
2023-10-25,57
2023-10-26,62
2023-10-27,60
2023-10-28,60
2023-10-29,68
2023-10-30,59
2023-10-31,54
2023-11-01,53
2023-11-02,57
2023-11-03,59
2023-11-04,71
2023-11-05,70
2023-11-06,97
2023-11-07,78
2023-11-08,68
2023-11-09,69
2023-11-10,64
2023-11-11,71
2023-11-12,74
2023-11-13,60
2023-11-14,61
2023-11-15,61
2023-11-16,61
2023-11-17,58
2023-11-18,66
2023-11-19,68
2023-11-20,60
2023-11-21,56
2023-11-22,54
2023-11-23,62
2023-11-24,64
2023-11-25,63
2023-11-26,68
2023-11-27,66
2023-11-28,60
2023-11-29,59
2023-11-30,54
2023-12-01,52
2023-12-02,60
2023-12-03,62
2023-12-04,58
2023-12-05,60
2023-12-06,56
2023-12-07,57
2023-12-08,52
2023-12-09,61
2023-12-10,67
2023-12-11,54
2023-12-12,56
2023-12-13,54
2023-12-14,53
2023-12-15,63
2023-12-16,61
2023-12-17,68
2023-12-18,58
2023-12-19,60
2023-12-20,59
2023-12-21,59
2023-12-22,60
2023-12-23,66
2023-12-24,62
2023-12-25,80
2023-12-26,87
2023-12-27,89
2023-12-28,86
2023-12-29,86
2023-12-30,85
2023-12-31,78
2024-01-01,88
2024-01-02,84
2024-01-03,100
2024-01-04,84
2024-01-05,78
2024-01-06,87
2024-01-07,85
2024-01-08,77
2024-01-09,72
2024-01-10,73
2024-01-11,74
2024-01-12,66
2024-01-13,78
2024-01-14,81
2024-01-15,73
2024-01-16,69
2024-01-17,70
2024-01-18,64
2024-01-19,65
2024-01-20,78
