Time,disney world
2022-08-29,39
2022-08-30,36
2022-08-31,40
2022-09-01,37
2022-09-02,39
2022-09-03,40
2022-09-04,43
2022-09-05,46
2022-09-06,38
2022-09-07,39
2022-09-08,42
2022-09-09,35
2022-09-10,41
2022-09-11,44
2022-09-12,42
2022-09-13,39
2022-09-14,37
2022-09-15,35
2022-09-16,47
2022-09-17,46
2022-09-18,47
2022-09-19,38
2022-09-20,40
2022-09-21,39
2022-09-22,36
2022-09-23,35
2022-09-24,43
2022-09-25,46
2022-09-26,44
2022-09-27,64
2022-09-28,73
2022-09-29,100
2022-09-30,80
2022-10-01,53
2022-10-02,50
2022-10-03,45
2022-10-04,41
2022-10-05,43
2022-10-06,38
2022-10-07,37
2022-10-08,40
2022-10-09,43
2022-10-10,39
2022-10-11,39
2022-10-12,36
2022-10-13,38
2022-10-14,37
2022-10-15,38
2022-10-16,42
2022-10-17,38
2022-10-18,37
2022-10-19,39
2022-10-20,37
2022-10-21,36
2022-10-22,38
2022-10-23,41
2022-10-24,38
2022-10-25,39
2022-10-26,37
2022-10-27,36
2022-10-28,36
2022-10-29,38
2022-10-30,41
2022-10-31,34
2022-11-01,35
2022-11-02,37
2022-11-03,40
2022-11-04,36
2022-11-05,42
2022-11-06,46
2022-11-07,40
2022-11-08,40
2022-11-09,41
2022-11-10,43
2022-11-11,36
2022-11-12,39
2022-11-13,41
2022-11-14,37
2022-11-15,36
2022-11-16,40
2022-11-17,40
2022-11-18,41
2022-11-19,42
2022-11-20,47
2022-11-21,46
2022-11-22,41
2022-11-23,42
2022-11-24,45
2022-11-25,47
2022-11-26,47
2022-11-27,50
2022-11-28,45
2022-11-29,41
2022-11-30,40
2022-12-01,40
2022-12-02,40
2022-12-03,48
2022-12-04,50
2022-12-05,40
2022-12-06,41
2022-12-07,36
2022-12-08,39
2022-12-09,38
2022-12-10,43
2022-12-11,41
2022-12-12,36
2022-12-13,35
2022-12-14,36
2022-12-15,34
2022-12-16,36
2022-12-17,40
2022-12-18,44
2022-12-19,39
2022-12-20,40
2022-12-21,36
2022-12-22,35
2022-12-23,40
2022-12-24,47
2022-12-25,58
2022-12-26,55
2022-12-27,55
2022-12-28,53
2022-12-29,58
2022-12-30,52
2022-12-31,50
2023-01-01,59
2023-01-02,66
2023-01-03,52
2023-01-04,57
2023-01-05,59
2023-01-06,54
2023-01-07,64
2023-01-08,65
2023-01-09,51
2023-01-10,54
2023-01-11,56
2023-01-12,51
2023-01-13,45
2023-01-14,50
2023-01-15,54
2023-01-16,55
2023-01-17,43
2023-01-18,43
2023-01-19,41
2023-01-20,41
2023-01-21,51
2023-01-22,52
2023-01-23,57
2023-01-24,53
2023-01-25,45
2023-01-26,49
2023-01-27,45
2023-01-28,51
2023-01-29,52
2023-01-30,45
2023-01-31,45
2023-02-01,41
2023-02-02,40
2023-02-03,41
2023-02-04,52
2023-02-05,57
2023-02-06,43
2023-02-07,42
2023-02-08,41
2023-02-09,40
2023-02-10,44
2023-02-11,51
2023-02-12,53
2023-02-13,42
2023-02-14,41
2023-02-15,38
2023-02-16,47
2023-02-17,44
2023-02-18,46
2023-02-19,54
2023-02-20,52
2023-02-21,44
2023-02-22,42
2023-02-23,43
2023-02-24,39
2023-02-25,47
2023-02-26,50
2023-02-27,47
2023-02-28,47
2023-03-01,39
2023-03-02,39
2023-03-03,42
2023-03-04,46
2023-03-05,52
2023-03-06,43
2023-03-07,43
2023-03-08,41
2023-03-09,42
2023-03-10,42
2023-03-11,47
2023-03-12,53
2023-03-13,49
2023-03-14,42
2023-03-15,43
2023-03-16,41
2023-03-17,40
2023-03-18,43
2023-03-19,51
2023-03-20,41
2023-03-21,42
2023-03-22,44
2023-03-23,41
2023-03-24,41
2023-03-25,45
2023-03-26,51
2023-03-27,44
2023-03-28,43
2023-03-29,42
2023-03-30,44
2023-03-31,39
2023-04-01,49
2023-04-02,52
2023-04-03,43
2023-04-04,43
2023-04-05,40
2023-04-06,43
2023-04-07,48
2023-04-08,54
2023-04-09,52
2023-04-10,45
2023-04-11,41
2023-04-12,42
2023-04-13,39
2023-04-14,38
2023-04-15,41
2023-04-16,45
2023-04-17,42
2023-04-18,42
2023-04-19,50
2023-04-20,59
2023-04-21,46
2023-04-22,54
2023-04-23,60
2023-04-24,47
2023-04-25,49
2023-04-26,49
2023-04-27,45
2023-04-28,41
2023-04-29,45
2023-04-30,54
2023-05-01,43
2023-05-02,43
2023-05-03,45
2023-05-04,48
2023-05-05,41
2023-05-06,42
2023-05-07,46
2023-05-08,43
2023-05-09,45
2023-05-10,44
2023-05-11,37
2023-05-12,38
2023-05-13,47
2023-05-14,46
2023-05-15,48
2023-05-16,48
2023-05-17,51
2023-05-18,49
2023-05-19,45
2023-05-20,59
2023-05-21,56
2023-05-22,41
2023-05-23,42
2023-05-24,41
2023-05-25,42
