Time,disney world
2025-04-15,64
2025-04-16,63
2025-04-17,63
2025-04-18,74
2025-04-19,68
2025-04-20,80
2025-04-21,67
2025-04-22,72
2025-04-23,62
2025-04-24,61
2025-04-25,58
2025-04-26,69
2025-04-27,72
2025-04-28,65
2025-04-29,61
2025-04-30,58
2025-05-01,58
2025-05-02,61
2025-05-03,71
2025-05-04,81
2025-05-05,63
2025-05-06,64
2025-05-07,67
2025-05-08,67
2025-05-09,63
2025-05-10,72
2025-05-11,82
2025-05-12,71
2025-05-13,67
2025-05-14,68
2025-05-15,64
2025-05-16,61
2025-05-17,71
2025-05-18,81
2025-05-19,68
2025-05-20,69
2025-05-21,69
2025-05-22,62
2025-05-23,62
2025-05-24,73
2025-05-25,76
2025-05-26,79
2025-05-27,70
2025-05-28,69
2025-05-29,67
2025-05-30,65
2025-05-31,69
2025-06-01,75
2025-06-02,65
2025-06-03,69
2025-06-04,66
2025-06-05,69
2025-06-06,62
2025-06-07,70
2025-06-08,79
2025-06-09,67
2025-06-10,63
2025-06-11,60
2025-06-12,60
2025-06-13,62
2025-06-14,71
2025-06-15,70
2025-06-16,63
2025-06-17,62
2025-06-18,64
2025-06-19,61
2025-06-20,62
2025-06-21,67
2025-06-22,65
2025-06-23,61
2025-06-24,64
2025-06-25,61
2025-06-26,64
2025-06-27,62
2025-06-28,66
2025-06-29,74
2025-06-30,61
2025-07-01,58
2025-07-02,60
2025-07-03,62
2025-07-04,66
2025-07-05,71
2025-07-06,80
2025-07-07,71
2025-07-08,71
2025-07-09,66
2025-07-10,73
2025-07-11,67
2025-07-12,71
2025-07-13,80
2025-07-14,71
2025-07-15,65
2025-07-16,71
2025-07-17,76
2025-07-18,66
2025-07-19,78
2025-07-20,90
2025-07-21,74
2025-07-22,72
2025-07-23,71
2025-07-24,62
2025-07-25,68
2025-07-26,69
2025-07-27,77
2025-07-28,68
2025-07-29,65
2025-07-30,64
2025-07-31,68
2025-08-01,60
2025-08-02,66
2025-08-03,77
2025-08-04,64
2025-08-05,66
2025-08-06,61
2025-08-07,66
2025-08-08,60
2025-08-09,68
2025-08-10,72
2025-08-11,60
2025-08-12,59
2025-08-13,53
2025-08-14,63
2025-08-15,63
2025-08-16,66
2025-08-17,73
2025-08-18,61
2025-08-19,63
2025-08-20,61
2025-08-21,58
2025-08-22,55
2025-08-23,68
2025-08-24,74
2025-08-25,66
2025-08-26,53
2025-08-27,53
2025-08-28,54
2025-08-29,59
2025-08-30,69
2025-08-31,76
2025-09-01,81
2025-09-02,62
2025-09-03,56
2025-09-04,55
2025-09-05,54
2025-09-06,63
2025-09-07,65
2025-09-08,56
2025-09-09,54
2025-09-10,51
2025-09-11,46
2025-09-12,49
2025-09-13,58
2025-09-14,60
2025-09-15,56
2025-09-16,58
2025-09-17,55
2025-09-18,58
2025-09-19,62
2025-09-20,64
2025-09-21,68
2025-09-22,66
2025-09-23,57
2025-09-24,54
2025-09-25,54
2025-09-26,54
2025-09-27,64
2025-09-28,65
2025-09-29,57
2025-09-30,60
2025-10-01,59
2025-10-02,59
2025-10-03,55
2025-10-04,62
2025-10-05,71
2025-10-06,58
2025-10-07,60
2025-10-08,71
2025-10-09,70
2025-10-10,64
2025-10-11,69
2025-10-12,71
2025-10-13,68
2025-10-14,62
2025-10-15,68
2025-10-16,61
2025-10-17,62
2025-10-18,71
2025-10-19,69
2025-10-20,65
2025-10-21,60
2025-10-22,57
2025-10-23,60
2025-10-24,59
2025-10-25,66
2025-10-26,73
2025-10-27,59
2025-10-28,57
2025-10-29,55
2025-10-30,54
2025-10-31,52
2025-11-01,63
2025-11-02,74
2025-11-03,63
2025-11-04,60
2025-11-05,64
2025-11-06,63
2025-11-07,63
2025-11-08,66
2025-11-09,71
2025-11-10,61
2025-11-11,66
2025-11-12,61
2025-11-13,55
2025-11-14,57
2025-11-15,67
2025-11-16,80
2025-11-17,65
2025-11-18,60
2025-11-19,61
2025-11-20,67
2025-11-21,58
2025-11-22,65
2025-11-23,69
2025-11-24,64
2025-11-25,57
2025-11-26,58
2025-11-27,64
2025-11-28,62
2025-11-29,71
2025-11-30,69
2025-12-01,60
2025-12-02,69
2025-12-03,62
2025-12-04,61
2025-12-05,60
2025-12-06,68
2025-12-07,71
2025-12-08,60
2025-12-09,61
2025-12-10,60
2025-12-11,58
2025-12-12,68
2025-12-13,73
2025-12-14,68
2025-12-15,60
2025-12-16,59
2025-12-17,58
2025-12-18,58
2025-12-19,61
2025-12-20,66
2025-12-21,74
2025-12-22,68
2025-12-23,66
2025-12-24,66
2025-12-25,91
2025-12-26,85
2025-12-27,87
2025-12-28,100
2025-12-29,89
2025-12-30,94
2025-12-31,81
2026-01-01,97
2026-01-02,92
2026-01-03,100
2026-01-04,90
2026-01-05,84
2026-01-06,99
2026-01-07,86
2026-01-08,81
2026-01-09,80
