Time,mexico baseball
2023-04-26,21
2023-04-27,22
2023-04-28,20
2023-04-29,54
2023-04-30,100
2023-05-01,33
2023-05-02,18
2023-05-03,17
2023-05-04,22
2023-05-05,24
2023-05-06,28
2023-05-07,17
2023-05-08,18
2023-05-09,15
2023-05-10,14
2023-05-11,17
2023-05-12,21
2023-05-13,26
2023-05-14,29
2023-05-15,13
2023-05-16,18
2023-05-17,16
2023-05-18,18
2023-05-19,14
2023-05-20,13
2023-05-21,16
2023-05-22,15
2023-05-23,15
2023-05-24,14
2023-05-25,13
2023-05-26,13
2023-05-27,23
2023-05-28,17
2023-05-29,17
2023-05-30,12
2023-05-31,13
2023-06-01,15
2023-06-02,16
2023-06-03,14
2023-06-04,18
2023-06-05,15
2023-06-06,15
2023-06-07,14
2023-06-08,14
2023-06-09,14
2023-06-10,20
2023-06-11,23
2023-06-12,14
2023-06-13,14
2023-06-14,14
2023-06-15,17
2023-06-16,33
2023-06-17,19
2023-06-18,25
2023-06-19,20
2023-06-20,16
2023-06-21,14
2023-06-22,13
2023-06-23,13
2023-06-24,22
2023-06-25,19
2023-06-26,22
2023-06-27,18
2023-06-28,13
2023-06-29,19
2023-06-30,18
2023-07-01,16
2023-07-02,22
2023-07-03,16
2023-07-04,19
2023-07-05,11
2023-07-06,12
2023-07-07,14
2023-07-08,11
2023-07-09,21
2023-07-10,16
2023-07-11,12
2023-07-12,14
2023-07-13,19
2023-07-14,14
2023-07-15,16
2023-07-16,19
2023-07-17,22
2023-07-18,13
2023-07-19,10
2023-07-20,12
2023-07-21,11
2023-07-22,9
2023-07-23,20
2023-07-24,5
2023-07-25,11
2023-07-26,10
2023-07-27,11
2023-07-28,8
2023-07-29,8
2023-07-30,11
2023-07-31,11
2023-08-01,10
2023-08-02,12
2023-08-03,12
2023-08-04,9
2023-08-05,10
2023-08-06,13
2023-08-07,11
2023-08-08,10
2023-08-09,10
2023-08-10,9
2023-08-11,11
2023-08-12,14
2023-08-13,11
2023-08-14,10
2023-08-15,5
2023-08-16,11
2023-08-17,7
2023-08-18,17
2023-08-19,21
2023-08-20,19
2023-08-21,11
2023-08-22,18
2023-08-23,27
2023-08-24,35
2023-08-25,21
2023-08-26,14
2023-08-27,17
2023-08-28,12
2023-08-29,10
2023-08-30,8
2023-08-31,12
2023-09-01,8
2023-09-02,6
2023-09-03,12
2023-09-04,13
2023-09-05,7
2023-09-06,11
2023-09-07,6
2023-09-08,7
2023-09-09,12
2023-09-10,19
2023-09-11,12
2023-09-12,11
2023-09-13,16
2023-09-14,13
2023-09-15,17
2023-09-16,17
2023-09-17,16
2023-09-18,14
2023-09-19,10
2023-09-20,8
2023-09-21,14
2023-09-22,10
2023-09-23,9
2023-09-24,8
2023-09-25,14
2023-09-26,6
2023-09-27,9
2023-09-28,11
2023-09-29,12
2023-09-30,10
2023-10-01,9
2023-10-02,13
2023-10-03,7
2023-10-04,9
2023-10-05,9
2023-10-06,8
2023-10-07,9
2023-10-08,9
2023-10-09,8
2023-10-10,11
2023-10-11,11
2023-10-12,9
2023-10-13,10
2023-10-14,8
2023-10-15,10
2023-10-16,7
2023-10-17,10
2023-10-18,16
2023-10-19,17
2023-10-20,12
2023-10-21,10
2023-10-22,11
2023-10-23,10
2023-10-24,17
2023-10-25,10
2023-10-26,9
2023-10-27,8
2023-10-28,10
2023-10-29,12
2023-10-30,8
2023-10-31,7
2023-11-01,9
2023-11-02,12
2023-11-03,8
2023-11-04,7
2023-11-05,9
2023-11-06,9
2023-11-07,5
2023-11-08,7
2023-11-09,10
2023-11-10,7
2023-11-11,10
2023-11-12,7
2023-11-13,5
2023-11-14,4
2023-11-15,6
2023-11-16,10
2023-11-17,4
2023-11-18,12
2023-11-19,9
2023-11-20,8
2023-11-21,4
2023-11-22,9
2023-11-23,7
2023-11-24,9
2023-11-25,7
2023-11-26,9
2023-11-27,7
2023-11-28,10
2023-11-29,11
2023-11-30,11
2023-12-01,7
2023-12-02,6
2023-12-03,7
2023-12-04,7
2023-12-05,7
2023-12-06,6
2023-12-07,6
2023-12-08,6
2023-12-09,8
2023-12-10,8
2023-12-11,7
2023-12-12,7
2023-12-13,8
2023-12-14,6
2023-12-15,8
2023-12-16,10
2023-12-17,9
2023-12-18,7
2023-12-19,4
2023-12-20,6
2023-12-21,0
2023-12-22,8
2023-12-23,7
2023-12-24,10
2023-12-25,6
2023-12-26,8
2023-12-27,6
2023-12-28,8
2023-12-29,6
2023-12-30,5
2023-12-31,6
2024-01-01,0
2024-01-02,7
2024-01-03,0
2024-01-04,6
2024-01-05,7
2024-01-06,5
2024-01-07,7
2024-01-08,6
2024-01-09,7
2024-01-10,6
2024-01-11,8
2024-01-12,5
2024-01-13,4
2024-01-14,5
2024-01-15,6
2024-01-16,8
2024-01-17,6
2024-01-18,8
2024-01-19,6
2024-01-20,6
