Time,ncaa men's basketball
2023-04-26,6
2023-04-27,6
2023-04-28,5
2023-04-29,0
2023-04-30,7
2023-05-01,5
2023-05-02,5
2023-05-03,5
2023-05-04,7
2023-05-05,6
2023-05-06,5
2023-05-07,7
2023-05-08,5
2023-05-09,5
2023-05-10,5
2023-05-11,5
2023-05-12,6
2023-05-13,6
2023-05-14,6
2023-05-15,4
2023-05-16,4
2023-05-17,6
2023-05-18,5
2023-05-19,4
2023-05-20,5
2023-05-21,4
2023-05-22,4
2023-05-23,5
2023-05-24,3
2023-05-25,6
2023-05-26,4
2023-05-27,8
2023-05-28,8
2023-05-29,28
2023-05-30,7
2023-05-31,4
2023-06-01,5
2023-06-02,5
2023-06-03,6
2023-06-04,6
2023-06-05,6
2023-06-06,4
2023-06-07,7
2023-06-08,4
2023-06-09,7
2023-06-10,0
2023-06-11,6
2023-06-12,4
2023-06-13,5
2023-06-14,5
2023-06-15,6
2023-06-16,3
2023-06-17,5
2023-06-18,0
2023-06-19,4
2023-06-20,5
2023-06-21,4
2023-06-22,6
2023-06-23,9
2023-06-24,6
2023-06-25,5
2023-06-26,6
2023-06-27,7
2023-06-28,3
2023-06-29,4
2023-06-30,5
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,3
2023-07-05,0
2023-07-06,3
2023-07-07,4
2023-07-08,0
2023-07-09,0
2023-07-10,3
2023-07-11,3
2023-07-12,3
2023-07-13,3
2023-07-14,3
2023-07-15,4
2023-07-16,0
2023-07-17,3
2023-07-18,0
2023-07-19,4
2023-07-20,0
2023-07-21,0
2023-07-22,4
2023-07-23,0
2023-07-24,4
2023-07-25,4
2023-07-26,3
2023-07-27,0
2023-07-28,3
2023-07-29,0
2023-07-30,0
2023-07-31,3
2023-08-01,3
2023-08-02,0
2023-08-03,4
2023-08-04,3
2023-08-05,4
2023-08-06,0
2023-08-07,5
2023-08-08,3
2023-08-09,3
2023-08-10,7
2023-08-11,4
2023-08-12,4
2023-08-13,0
2023-08-14,0
2023-08-15,3
2023-08-16,0
2023-08-17,3
2023-08-18,0
2023-08-19,5
2023-08-20,0
2023-08-21,5
2023-08-22,3
2023-08-23,4
2023-08-24,3
2023-08-25,4
2023-08-26,4
2023-08-27,0
2023-08-28,3
2023-08-29,4
2023-08-30,3
2023-08-31,6
2023-09-01,4
2023-09-02,3
2023-09-03,4
2023-09-04,3
2023-09-05,3
2023-09-06,0
2023-09-07,4
2023-09-08,0
2023-09-09,5
2023-09-10,0
2023-09-11,3
2023-09-12,3
2023-09-13,0
2023-09-14,3
2023-09-15,0
2023-09-16,3
2023-09-17,6
2023-09-18,3
2023-09-19,3
2023-09-20,6
2023-09-21,5
2023-09-22,4
2023-09-23,4
2023-09-24,3
2023-09-25,4
2023-09-26,0
2023-09-27,0
2023-09-28,5
2023-09-29,0
2023-09-30,4
2023-10-01,3
2023-10-02,4
2023-10-03,3
2023-10-04,5
2023-10-05,5
2023-10-06,5
2023-10-07,5
2023-10-08,4
2023-10-09,3
2023-10-10,4
2023-10-11,5
2023-10-12,4
2023-10-13,6
2023-10-14,7
2023-10-15,5
2023-10-16,10
2023-10-17,10
2023-10-18,7
2023-10-19,7
2023-10-20,3
2023-10-21,7
2023-10-22,6
2023-10-23,4
2023-10-24,5
2023-10-25,3
2023-10-26,7
2023-10-27,7
2023-10-28,10
2023-10-29,13
2023-10-30,12
2023-10-31,10
2023-11-01,7
2023-11-02,10
2023-11-03,7
2023-11-04,9
2023-11-05,10
2023-11-06,26
2023-11-07,53
2023-11-08,27
2023-11-09,25
2023-11-10,34
2023-11-11,74
2023-11-12,29
2023-11-13,42
2023-11-14,44
2023-11-15,60
2023-11-16,32
2023-11-17,37
2023-11-18,51
2023-11-19,40
2023-11-20,51
2023-11-21,54
2023-11-22,72
2023-11-23,69
2023-11-24,61
2023-11-25,53
2023-11-26,41
2023-11-27,41
2023-11-28,36
2023-11-29,51
2023-11-30,53
2023-12-01,31
2023-12-02,88
2023-12-03,62
2023-12-04,56
2023-12-05,42
2023-12-06,65
2023-12-07,55
2023-12-08,33
2023-12-09,78
2023-12-10,76
2023-12-11,47
2023-12-12,32
2023-12-13,31
2023-12-14,27
2023-12-15,22
2023-12-16,90
2023-12-17,66
2023-12-18,39
2023-12-19,39
2023-12-20,46
2023-12-21,66
2023-12-22,48
2023-12-23,60
2023-12-24,35
2023-12-25,31
2023-12-26,30
2023-12-27,22
2023-12-28,24
2023-12-29,31
2023-12-30,67
2023-12-31,46
2024-01-01,41
2024-01-02,39
2024-01-03,54
2024-01-04,54
2024-01-05,45
2024-01-06,92
2024-01-07,63
2024-01-08,48
2024-01-09,42
2024-01-10,76
2024-01-11,72
2024-01-12,42
2024-01-13,99
2024-01-14,70
2024-01-15,76
2024-01-16,47
2024-01-17,78
2024-01-18,67
2024-01-19,55
2024-01-20,100
