Time,h&r block
2023-04-26,28
2023-04-27,27
2023-04-28,25
2023-04-29,19
2023-04-30,15
2023-05-01,32
2023-05-02,29
2023-05-03,26
2023-05-04,24
2023-05-05,23
2023-05-06,16
2023-05-07,8
2023-05-08,23
2023-05-09,25
2023-05-10,22
2023-05-11,22
2023-05-12,18
2023-05-13,14
2023-05-14,9
2023-05-15,23
2023-05-16,24
2023-05-17,20
2023-05-18,21
2023-05-19,17
2023-05-20,12
2023-05-21,8
2023-05-22,20
2023-05-23,19
2023-05-24,17
2023-05-25,19
2023-05-26,14
2023-05-27,12
2023-05-28,5
2023-05-29,10
2023-05-30,18
2023-05-31,18
2023-06-01,17
2023-06-02,16
2023-06-03,10
2023-06-04,7
2023-06-05,18
2023-06-06,18
2023-06-07,17
2023-06-08,17
2023-06-09,17
2023-06-10,9
2023-06-11,8
2023-06-12,17
2023-06-13,17
2023-06-14,18
2023-06-15,17
2023-06-16,13
2023-06-17,8
2023-06-18,6
2023-06-19,15
2023-06-20,17
2023-06-21,16
2023-06-22,17
2023-06-23,13
2023-06-24,10
2023-06-25,7
2023-06-26,16
2023-06-27,17
2023-06-28,15
2023-06-29,15
2023-06-30,13
2023-07-01,10
2023-07-02,7
2023-07-03,13
2023-07-04,7
2023-07-05,14
2023-07-06,15
2023-07-07,14
2023-07-08,9
2023-07-09,6
2023-07-10,15
2023-07-11,16
2023-07-12,17
2023-07-13,16
2023-07-14,14
2023-07-15,10
2023-07-16,7
2023-07-17,17
2023-07-18,15
2023-07-19,17
2023-07-20,16
2023-07-21,14
2023-07-22,9
2023-07-23,8
2023-07-24,16
2023-07-25,18
2023-07-26,15
2023-07-27,14
2023-07-28,15
2023-07-29,10
2023-07-30,7
2023-07-31,18
2023-08-01,16
2023-08-02,16
2023-08-03,14
2023-08-04,13
2023-08-05,9
2023-08-06,6
2023-08-07,17
2023-08-08,17
2023-08-09,13
2023-08-10,15
2023-08-11,15
2023-08-12,8
2023-08-13,7
2023-08-14,17
2023-08-15,14
2023-08-16,16
2023-08-17,15
2023-08-18,14
2023-08-19,7
2023-08-20,6
2023-08-21,16
2023-08-22,18
2023-08-23,14
2023-08-24,15
2023-08-25,11
2023-08-26,9
2023-08-27,6
2023-08-28,14
2023-08-29,15
2023-08-30,13
2023-08-31,15
2023-09-01,11
2023-09-02,8
2023-09-03,5
2023-09-04,7
2023-09-05,15
2023-09-06,14
2023-09-07,15
2023-09-08,13
2023-09-09,9
2023-09-10,5
2023-09-11,17
2023-09-12,16
2023-09-13,15
2023-09-14,15
2023-09-15,13
2023-09-16,9
2023-09-17,7
2023-09-18,15
2023-09-19,16
2023-09-20,14
2023-09-21,13
2023-09-22,12
2023-09-23,9
2023-09-24,8
2023-09-25,16
2023-09-26,15
2023-09-27,16
2023-09-28,15
2023-09-29,14
2023-09-30,10
2023-10-01,8
2023-10-02,18
2023-10-03,19
2023-10-04,17
2023-10-05,17
2023-10-06,16
2023-10-07,10
2023-10-08,9
2023-10-09,19
2023-10-10,21
2023-10-11,21
2023-10-12,22
2023-10-13,20
2023-10-14,18
2023-10-15,15
2023-10-16,32
2023-10-17,22
2023-10-18,16
2023-10-19,16
2023-10-20,14
2023-10-21,10
2023-10-22,9
2023-10-23,17
2023-10-24,21
2023-10-25,19
2023-10-26,21
2023-10-27,20
2023-10-28,16
2023-10-29,11
2023-10-30,28
2023-10-31,28
2023-11-01,62
2023-11-02,47
2023-11-03,38
2023-11-04,30
2023-11-05,15
2023-11-06,38
2023-11-07,31
2023-11-08,30
2023-11-09,30
2023-11-10,27
2023-11-11,20
2023-11-12,14
2023-11-13,31
2023-11-14,30
2023-11-15,27
2023-11-16,25
2023-11-17,24
2023-11-18,22
2023-11-19,11
2023-11-20,26
2023-11-21,25
2023-11-22,22
2023-11-23,9
2023-11-24,19
2023-11-25,15
2023-11-26,11
2023-11-27,27
2023-11-28,27
2023-11-29,25
2023-11-30,25
2023-12-01,25
2023-12-02,17
2023-12-03,11
2023-12-04,27
2023-12-05,27
2023-12-06,28
2023-12-07,23
2023-12-08,23
2023-12-09,18
2023-12-10,12
2023-12-11,27
2023-12-12,27
2023-12-13,24
2023-12-14,27
2023-12-15,26
2023-12-16,18
2023-12-17,11
2023-12-18,27
2023-12-19,26
2023-12-20,23
2023-12-21,22
2023-12-22,21
2023-12-23,14
2023-12-24,7
2023-12-25,6
2023-12-26,20
2023-12-27,26
2023-12-28,26
2023-12-29,28
2023-12-30,19
2023-12-31,12
2024-01-01,19
2024-01-02,40
2024-01-03,48
2024-01-04,45
2024-01-05,39
2024-01-06,34
2024-01-07,27
2024-01-08,42
2024-01-09,47
2024-01-10,47
2024-01-11,52
2024-01-12,56
2024-01-13,42
2024-01-14,40
2024-01-15,60
2024-01-16,70
2024-01-17,78
2024-01-18,87
2024-01-19,90
2024-01-20,100
