Time,sonic
2022-01-01,21.0
2022-01-02,19.0
2022-01-03,16.0
2022-01-04,17.0
2022-01-05,14.0
2022-01-06,13.0
2022-01-07,15.0
2022-01-08,21.0
2022-01-09,20.0
2022-01-10,13.0
2022-01-11,14.0
2022-01-12,14.0
2022-01-13,17.0
2022-01-14,13.0
2022-01-15,19.0
2022-01-16,17.0
2022-01-17,16.0
2022-01-18,12.0
2022-01-19,15.0
2022-01-20,15.0
2022-01-21,15.0
2022-01-22,19.0
2022-01-23,19.0
2022-01-24,19.0
2022-01-25,12.0
2022-01-26,13.0
2022-01-27,13.0
2022-01-28,16.0
2022-01-29,19.0
2022-01-30,20.0
2022-01-31,14.0
2022-02-01,14.0
2022-02-02,14.0
2022-02-03,14.0
2022-02-04,15.0
2022-02-05,19.0
2022-02-06,21.0
2022-02-07,16.0
2022-02-08,15.0
2022-02-09,16.0
2022-02-10,13.0
2022-02-11,17.0
2022-02-12,21.0
2022-02-13,19.0
2022-02-14,15.0
2022-02-15,16.0
2022-02-16,17.0
2022-02-17,17.0
2022-02-18,18.0
2022-02-19,20.0
2022-02-20,22.0
2022-02-21,19.0
2022-02-22,16.0
2022-02-23,16.0
2022-02-24,15.0
2022-02-25,16.0
2022-02-26,21.0
2022-02-27,22.0
2022-02-28,16.0
2022-03-01,16.0
2022-03-02,18.0
2022-03-03,18.0
2022-03-04,18.0
2022-03-05,23.0
2022-03-06,21.0
2022-03-07,17.0
2022-03-08,17.0
2022-03-09,16.0
2022-03-10,16.0
2022-03-11,18.0
2022-03-12,20.0
2022-03-13,22.0
2022-03-14,21.0
2022-03-15,21.0
2022-03-16,21.0
2022-03-17,21.0
2022-03-18,20.0
2022-03-19,26.0
2022-03-20,26.0
2022-03-21,20.0
2022-03-22,19.0
2022-03-23,20.0
2022-03-24,21.0
2022-03-25,23.0
2022-03-26,29.0
2022-03-27,27.0
2022-03-28,21.0
2022-03-29,23.0
2022-03-30,25.0
2022-03-31,26.0
2022-04-01,29.0
2022-04-02,37.0
2022-04-03,38.0
2022-04-04,51.0
2022-04-05,34.0
2022-04-06,36.0
2022-04-07,43.0
2022-04-08,70.0
2022-04-09,100.0
2022-04-10,88.0
2022-04-11,56.0
2022-04-12,48.0
2022-04-13,43.0
2022-04-14,43.0
2022-04-15,53.0
2022-04-16,64.0
2022-04-17,62.0
2022-04-18,47.0
2022-04-19,39.0
2022-04-20,42.0
2022-04-21,40.0
2022-04-22,44.0
2022-04-23,60.0
2022-04-24,59.0
2022-04-25,41.0
2022-04-26,35.0
2022-04-27,36.0
2022-04-28,34.0
2022-04-29,38.0
2022-04-30,51.0
2022-05-01,50.0
2022-05-02,35.0
2022-05-03,31.0
2022-05-04,34.0
2022-05-05,33.0
2022-05-06,37.0
2022-05-07,49.0
2022-05-08,48.0
2022-05-09,34.0
2022-05-10,32.0
2022-05-11,32.0
2022-05-12,34.0
2022-05-13,34.0
2022-05-14,44.0
2022-05-15,46.0
2022-05-16,34.0
2022-05-17,30.0
2022-05-18,32.0
2022-05-19,33.0
2022-05-20,37.0
2022-05-21,49.0
2022-05-22,44.0
2022-05-23,36.0
2022-05-24,39.0
2022-05-25,41.0
2022-05-26,42.0
2022-05-27,39.0
2022-05-28,50.0
2022-05-29,51.0
2022-05-30,50.0
2022-05-31,38.0
2022-06-01,35.0
2022-06-02,34.0
2022-06-03,37.0
2022-06-04,43.0
