Time,house of the dragon
2025-04-15,44
2025-04-16,45
2025-04-17,34
2025-04-18,39
2025-04-19,41
2025-04-20,52
2025-04-21,41
2025-04-22,38
2025-04-23,37
2025-04-24,44
2025-04-25,33
2025-04-26,41
2025-04-27,47
2025-04-28,38
2025-04-29,38
2025-04-30,40
2025-05-01,34
2025-05-02,29
2025-05-03,39
2025-05-04,50
2025-05-05,42
2025-05-06,38
2025-05-07,32
2025-05-08,33
2025-05-09,35
2025-05-10,41
2025-05-11,50
2025-05-12,47
2025-05-13,40
2025-05-14,43
2025-05-15,42
2025-05-16,37
2025-05-17,41
2025-05-18,46
2025-05-19,46
2025-05-20,38
2025-05-21,39
2025-05-22,41
2025-05-23,37
2025-05-24,52
2025-05-25,72
2025-05-26,77
2025-05-27,56
2025-05-28,51
2025-05-29,52
2025-05-30,48
2025-05-31,54
2025-06-01,61
2025-06-02,61
2025-06-03,46
2025-06-04,42
2025-06-05,39
2025-06-06,34
2025-06-07,44
2025-06-08,53
2025-06-09,46
2025-06-10,41
2025-06-11,42
2025-06-12,36
2025-06-13,37
2025-06-14,41
2025-06-15,58
2025-06-16,50
2025-06-17,44
2025-06-18,49
2025-06-19,45
2025-06-20,50
2025-06-21,44
2025-06-22,44
2025-06-23,39
2025-06-24,42
2025-06-25,44
2025-06-26,40
2025-06-27,40
2025-06-28,38
2025-06-29,48
2025-06-30,43
2025-07-01,40
2025-07-02,38
2025-07-03,32
2025-07-04,39
2025-07-05,42
2025-07-06,50
2025-07-07,45
2025-07-08,44
2025-07-09,44
2025-07-10,60
2025-07-11,53
2025-07-12,63
2025-07-13,63
2025-07-14,56
2025-07-15,52
2025-07-16,65
2025-07-17,62
2025-07-18,57
2025-07-19,77
2025-07-20,89
2025-07-21,66
2025-07-22,65
2025-07-23,55
2025-07-24,60
2025-07-25,68
2025-07-26,66
2025-07-27,75
2025-07-28,65
2025-07-29,64
2025-07-30,80
2025-07-31,68
2025-08-01,64
2025-08-02,52
2025-08-03,56
2025-08-04,53
2025-08-05,47
2025-08-06,48
2025-08-07,46
2025-08-08,45
2025-08-09,49
2025-08-10,61
2025-08-11,56
2025-08-12,50
2025-08-13,62
2025-08-14,47
2025-08-15,44
2025-08-16,59
2025-08-17,56
2025-08-18,56
2025-08-19,50
2025-08-20,46
2025-08-21,43
2025-08-22,53
2025-08-23,65
2025-08-24,74
2025-08-25,49
2025-08-26,49
2025-08-27,45
2025-08-28,87
2025-08-29,56
2025-08-30,40
2025-08-31,54
2025-09-01,54
2025-09-02,42
2025-09-03,46
2025-09-04,46
2025-09-05,47
2025-09-06,44
2025-09-07,50
2025-09-08,41
2025-09-09,42
2025-09-10,41
2025-09-11,34
2025-09-12,38
2025-09-13,40
2025-09-14,49
2025-09-15,50
2025-09-16,53
2025-09-17,49
2025-09-18,36
2025-09-19,40
2025-09-20,47
2025-09-21,55
2025-09-22,45
2025-09-23,36
2025-09-24,45
2025-09-25,35
2025-09-26,35
2025-09-27,43
2025-09-28,39
2025-09-29,37
2025-09-30,38
2025-10-01,35
2025-10-02,36
2025-10-03,38
2025-10-04,42
2025-10-05,47
2025-10-06,48
2025-10-07,43
2025-10-08,43
2025-10-09,54
2025-10-10,58
2025-10-11,59
2025-10-12,54
2025-10-13,57
2025-10-14,46
2025-10-15,42
2025-10-16,36
2025-10-17,38
2025-10-18,53
2025-10-19,46
2025-10-20,40
2025-10-21,47
2025-10-22,59
2025-10-23,55
2025-10-24,56
2025-10-25,47
2025-10-26,56
2025-10-27,47
2025-10-28,42
2025-10-29,32
2025-10-30,44
2025-10-31,39
2025-11-01,49
2025-11-02,44
2025-11-03,46
2025-11-04,46
2025-11-05,41
2025-11-06,40
2025-11-07,37
2025-11-08,50
2025-11-09,53
2025-11-10,41
2025-11-11,45
2025-11-12,35
2025-11-13,36
2025-11-14,38
2025-11-15,40
2025-11-16,45
2025-11-17,41
2025-11-18,43
2025-11-19,39
2025-11-20,48
2025-11-21,55
2025-11-22,70
2025-11-23,60
2025-11-24,52
2025-11-25,45
2025-11-26,49
2025-11-27,53
2025-11-28,50
2025-11-29,53
2025-11-30,53
2025-12-01,51
2025-12-02,46
2025-12-03,38
2025-12-04,48
2025-12-05,57
2025-12-06,64
2025-12-07,60
2025-12-08,48
2025-12-09,47
2025-12-10,47
2025-12-11,49
2025-12-12,63
2025-12-13,72
2025-12-14,59
2025-12-15,50
2025-12-16,51
2025-12-17,47
2025-12-18,49
2025-12-19,42
2025-12-20,57
2025-12-21,55
2025-12-22,54
2025-12-23,50
2025-12-24,60
2025-12-25,55
2025-12-26,55
2025-12-27,71
2025-12-28,71
2025-12-29,65
2025-12-30,72
2025-12-31,62
2026-01-01,92
2026-01-02,100
2026-01-03,92
2026-01-04,93
2026-01-05,69
2026-01-06,67
2026-01-07,62
2026-01-08,70
2026-01-09,71
