Time,target
2022-08-29,34
2022-08-30,34
2022-08-31,33
2022-09-01,32
2022-09-02,37
2022-09-03,41
2022-09-04,43
2022-09-05,50
2022-09-06,33
2022-09-07,32
2022-09-08,31
2022-09-09,32
2022-09-10,40
2022-09-11,39
2022-09-12,33
2022-09-13,32
2022-09-14,32
2022-09-15,32
2022-09-16,35
2022-09-17,41
2022-09-18,40
2022-09-19,32
2022-09-20,32
2022-09-21,31
2022-09-22,32
2022-09-23,35
2022-09-24,38
2022-09-25,41
2022-09-26,32
2022-09-27,32
2022-09-28,31
2022-09-29,33
2022-09-30,35
2022-10-01,39
2022-10-02,40
2022-10-03,32
2022-10-04,33
2022-10-05,33
2022-10-06,38
2022-10-07,41
2022-10-08,46
2022-10-09,43
2022-10-10,37
2022-10-11,32
2022-10-12,33
2022-10-13,34
2022-10-14,34
2022-10-15,42
2022-10-16,40
2022-10-17,33
2022-10-18,33
2022-10-19,33
2022-10-20,34
2022-10-21,36
2022-10-22,39
2022-10-23,40
2022-10-24,33
2022-10-25,32
2022-10-26,33
2022-10-27,37
2022-10-28,37
2022-10-29,42
2022-10-30,42
2022-10-31,34
2022-11-01,29
2022-11-02,33
2022-11-03,33
2022-11-04,34
2022-11-05,43
2022-11-06,42
2022-11-07,34
2022-11-08,34
2022-11-09,33
2022-11-10,36
2022-11-11,39
2022-11-12,46
2022-11-13,49
2022-11-14,38
2022-11-15,37
2022-11-16,39
2022-11-17,42
2022-11-18,43
2022-11-19,51
2022-11-20,55
2022-11-21,46
2022-11-22,47
2022-11-23,52
2022-11-24,84
2022-11-25,100
2022-11-26,63
2022-11-27,57
2022-11-28,52
2022-11-29,43
2022-11-30,40
2022-12-01,40
2022-12-02,41
2022-12-03,48
2022-12-04,52
2022-12-05,42
2022-12-06,40
2022-12-07,40
2022-12-08,42
2022-12-09,43
2022-12-10,53
2022-12-11,54
2022-12-12,45
2022-12-13,44
2022-12-14,46
2022-12-15,47
2022-12-16,51
2022-12-17,59
2022-12-18,59
2022-12-19,54
2022-12-20,58
2022-12-21,60
2022-12-22,59
2022-12-23,67
2022-12-24,93
2022-12-25,70
2022-12-26,58
2022-12-27,47
2022-12-28,43
2022-12-29,42
2022-12-30,44
2022-12-31,50
2023-01-01,52
2023-01-02,44
2023-01-03,33
2023-01-04,34
2023-01-05,33
2023-01-06,34
2023-01-07,41
2023-01-08,42
2023-01-09,30
2023-01-10,31
2023-01-11,32
2023-01-12,30
2023-01-13,32
2023-01-14,38
2023-01-15,39
2023-01-16,36
2023-01-17,30
2023-01-18,28
2023-01-19,29
2023-01-20,30
2023-01-21,38
2023-01-22,38
2023-01-23,30
2023-01-24,29
2023-01-25,28
2023-01-26,29
2023-01-27,31
2023-01-28,37
2023-01-29,36
2023-01-30,28
2023-01-31,30
2023-02-01,32
2023-02-02,30
2023-02-03,33
2023-02-04,37
2023-02-05,41
2023-02-06,32
2023-02-07,31
2023-02-08,29
2023-02-09,30
2023-02-10,33
2023-02-11,41
2023-02-12,39
2023-02-13,30
2023-02-14,33
2023-02-15,29
2023-02-16,29
2023-02-17,30
2023-02-18,38
2023-02-19,38
2023-02-20,35
2023-02-21,29
2023-02-22,29
2023-02-23,29
2023-02-24,32
2023-02-25,41
2023-02-26,40
2023-02-27,31
2023-02-28,29
2023-03-01,28
2023-03-02,30
2023-03-03,30
2023-03-04,36
2023-03-05,38
2023-03-06,31
2023-03-07,30
2023-03-08,29
2023-03-09,30
2023-03-10,31
2023-03-11,37
2023-03-12,38
2023-03-13,30
2023-03-14,30
2023-03-15,29
2023-03-16,30
2023-03-17,31
2023-03-18,35
2023-03-19,38
2023-03-20,31
2023-03-21,29
2023-03-22,28
2023-03-23,29
2023-03-24,31
2023-03-25,36
2023-03-26,38
2023-03-27,31
2023-03-28,30
2023-03-29,29
2023-03-30,30
2023-03-31,30
2023-04-01,36
2023-04-02,40
2023-04-03,32
2023-04-04,30
2023-04-05,28
2023-04-06,30
2023-04-07,37
2023-04-08,44
2023-04-09,55
2023-04-10,32
2023-04-11,31
2023-04-12,32
2023-04-13,30
2023-04-14,32
2023-04-15,37
2023-04-16,39
2023-04-17,29
2023-04-18,28
2023-04-19,28
2023-04-20,28
2023-04-21,32
2023-04-22,38
2023-04-23,38
2023-04-24,30
2023-04-25,29
2023-04-26,28
2023-04-27,27
2023-04-28,30
2023-04-29,36
2023-04-30,36
2023-05-01,31
2023-05-02,29
2023-05-03,29
2023-05-04,30
2023-05-05,30
2023-05-06,36
2023-05-07,37
2023-05-08,32
2023-05-09,29
2023-05-10,31
2023-05-11,31
2023-05-12,35
2023-05-13,40
2023-05-14,41
2023-05-15,32
2023-05-16,32
2023-05-17,31
2023-05-18,31
2023-05-19,32
2023-05-20,39
2023-05-21,39
2023-05-22,32
2023-05-23,36
2023-05-24,50
2023-05-25,49
