Time,target
2023-12-22,67
2023-12-23,79
2023-12-24,100
2023-12-25,63
2023-12-26,49
2023-12-27,43
2023-12-28,43
2023-12-29,44
2023-12-30,46
2023-12-31,56
2024-01-01,56
2024-01-02,40
2024-01-03,41
2024-01-04,38
2024-01-05,37
2024-01-06,42
2024-01-07,40
2024-01-08,32
2024-01-09,29
2024-01-10,29
2024-01-11,31
2024-01-12,31
2024-01-13,36
2024-01-14,35
2024-01-15,32
2024-01-16,27
2024-01-17,28
2024-01-18,28
2024-01-19,29
2024-01-20,36
2024-01-21,34
2024-01-22,30
2024-01-23,25
2024-01-24,27
2024-01-25,29
2024-01-26,29
2024-01-27,36
2024-01-28,35
2024-01-29,27
2024-01-30,28
2024-01-31,27
2024-02-01,29
2024-02-02,30
2024-02-03,36
2024-02-04,37
2024-02-05,29
2024-02-06,29
2024-02-07,28
2024-02-08,29
2024-02-09,30
2024-02-10,39
2024-02-11,35
2024-02-12,26
2024-02-13,31
2024-02-14,31
2024-02-15,27
2024-02-16,30
2024-02-17,35
2024-02-18,35
2024-02-19,33
2024-02-20,29
2024-02-21,27
2024-02-22,27
2024-02-23,29
2024-02-24,37
2024-02-25,35
2024-02-26,28
2024-02-27,26
2024-02-28,29
2024-02-29,27
2024-03-01,29
2024-03-02,35
2024-03-03,36
2024-03-04,30
2024-03-05,29
2024-03-06,27
2024-03-07,28
2024-03-08,29
2024-03-09,35
2024-03-10,36
2024-03-11,30
2024-03-12,28
2024-03-13,29
2024-03-14,30
2024-03-15,29
2024-03-16,38
2024-03-17,39
2024-03-18,31
2024-03-19,29
2024-03-20,28
2024-03-21,29
2024-03-22,28
2024-03-23,36
2024-03-24,39
2024-03-25,30
2024-03-26,28
2024-03-27,30
2024-03-28,30
2024-03-29,33
2024-03-30,40
2024-03-31,57
2024-04-01,31
2024-04-02,29
2024-04-03,29
2024-04-04,30
2024-04-05,30
2024-04-06,35
2024-04-07,40
2024-04-08,33
2024-04-09,30
2024-04-10,31
2024-04-11,30
2024-04-12,32
2024-04-13,38
2024-04-14,39
2024-04-15,30
2024-04-16,29
2024-04-17,29
2024-04-18,31
2024-04-19,31
2024-04-20,37
2024-04-21,38
2024-04-22,30
2024-04-23,29
2024-04-24,28
2024-04-25,27
2024-04-26,31
2024-04-27,36
2024-04-28,35
2024-04-29,30
2024-04-30,28
2024-05-01,28
2024-05-02,29
2024-05-03,32
2024-05-04,37
2024-05-05,36
2024-05-06,30
2024-05-07,29
2024-05-08,30
2024-05-09,31
2024-05-10,32
2024-05-11,39
2024-05-12,38
2024-05-13,30
2024-05-14,29
2024-05-15,28
2024-05-16,30
2024-05-17,30
2024-05-18,35
2024-05-19,39
2024-05-20,34
2024-05-21,32
2024-05-22,31
2024-05-23,32
2024-05-24,34
2024-05-25,41
2024-05-26,40
2024-05-27,45
2024-05-28,29
2024-05-29,30
2024-05-30,31
2024-05-31,32
2024-06-01,37
2024-06-02,39
2024-06-03,32
2024-06-04,32
2024-06-05,30
2024-06-06,33
2024-06-07,34
2024-06-08,38
2024-06-09,38
2024-06-10,34
2024-06-11,32
2024-06-12,32
2024-06-13,33
2024-06-14,34
2024-06-15,39
2024-06-16,39
2024-06-17,33
2024-06-18,32
2024-06-19,35
2024-06-20,32
2024-06-21,35
2024-06-22,37
2024-06-23,39
2024-06-24,34
2024-06-25,31
2024-06-26,31
2024-06-27,33
2024-06-28,33
2024-06-29,38
2024-06-30,37
2024-07-01,34
2024-07-02,34
2024-07-03,38
2024-07-04,52
2024-07-05,35
2024-07-06,38
2024-07-07,40
2024-07-08,37
2024-07-09,35
2024-07-10,35
2024-07-11,35
2024-07-12,37
2024-07-13,40
2024-07-14,39
2024-07-15,34
2024-07-16,32
2024-07-17,35
2024-07-18,35
2024-07-19,34
2024-07-20,39
2024-07-21,38
2024-07-22,33
2024-07-23,32
2024-07-24,32
2024-07-25,32
2024-07-26,33
2024-07-27,39
2024-07-28,38
2024-07-29,32
2024-07-30,33
2024-07-31,33
2024-08-01,31
2024-08-02,37
2024-08-03,39
2024-08-04,39
2024-08-05,33
2024-08-06,33
2024-08-07,33
2024-08-08,33
2024-08-09,34
2024-08-10,38
2024-08-11,41
2024-08-12,35
2024-08-13,32
2024-08-14,34
2024-08-15,34
2024-08-16,35
2024-08-17,42
2024-08-18,42
2024-08-19,34
2024-08-20,33
2024-08-21,31
2024-08-22,32
2024-08-23,34
2024-08-24,39
2024-08-25,42
2024-08-26,32
2024-08-27,30
2024-08-28,31
2024-08-29,31
2024-08-30,32
2024-08-31,37
2024-09-01,40
2024-09-02,44
2024-09-03,30
2024-09-04,30
2024-09-05,29
2024-09-06,29
2024-09-07,35
2024-09-08,36
2024-09-09,30
2024-09-10,28
2024-09-11,28
2024-09-12,29
2024-09-13,31
2024-09-14,37
2024-09-15,35
2024-09-16,30
