Time,target
2023-04-26,30
2023-04-27,28
2023-04-28,31
2023-04-29,38
2023-04-30,37
2023-05-01,32
2023-05-02,31
2023-05-03,30
2023-05-04,31
2023-05-05,31
2023-05-06,37
2023-05-07,39
2023-05-08,33
2023-05-09,31
2023-05-10,32
2023-05-11,33
2023-05-12,37
2023-05-13,41
2023-05-14,42
2023-05-15,33
2023-05-16,33
2023-05-17,32
2023-05-18,32
2023-05-19,34
2023-05-20,41
2023-05-21,41
2023-05-22,33
2023-05-23,37
2023-05-24,52
2023-05-25,51
2023-05-26,57
2023-05-27,55
2023-05-28,55
2023-05-29,56
2023-05-30,41
2023-05-31,41
2023-06-01,42
2023-06-02,41
2023-06-03,43
2023-06-04,44
2023-06-05,37
2023-06-06,36
2023-06-07,34
2023-06-08,34
2023-06-09,36
2023-06-10,39
2023-06-11,40
2023-06-12,35
2023-06-13,35
2023-06-14,34
2023-06-15,34
2023-06-16,36
2023-06-17,40
2023-06-18,40
2023-06-19,34
2023-06-20,33
2023-06-21,32
2023-06-22,31
2023-06-23,36
2023-06-24,36
2023-06-25,40
2023-06-26,34
2023-06-27,32
2023-06-28,34
2023-06-29,33
2023-06-30,35
2023-07-01,39
2023-07-02,40
2023-07-03,40
2023-07-04,50
2023-07-05,34
2023-07-06,35
2023-07-07,37
2023-07-08,40
2023-07-09,43
2023-07-10,39
2023-07-11,39
2023-07-12,36
2023-07-13,36
2023-07-14,37
2023-07-15,39
2023-07-16,41
2023-07-17,34
2023-07-18,34
2023-07-19,34
2023-07-20,33
2023-07-21,36
2023-07-22,40
2023-07-23,41
2023-07-24,34
2023-07-25,34
2023-07-26,33
2023-07-27,32
2023-07-28,34
2023-07-29,39
2023-07-30,40
2023-07-31,34
2023-08-01,33
2023-08-02,33
2023-08-03,35
2023-08-04,37
2023-08-05,40
2023-08-06,43
2023-08-07,36
2023-08-08,35
2023-08-09,34
2023-08-10,34
2023-08-11,37
2023-08-12,40
2023-08-13,42
2023-08-14,35
2023-08-15,34
2023-08-16,36
2023-08-17,36
2023-08-18,36
2023-08-19,40
2023-08-20,42
2023-08-21,34
2023-08-22,33
2023-08-23,32
2023-08-24,32
2023-08-25,33
2023-08-26,38
2023-08-27,38
2023-08-28,31
2023-08-29,32
2023-08-30,30
2023-08-31,30
2023-09-01,34
2023-09-02,36
2023-09-03,41
2023-09-04,43
2023-09-05,31
2023-09-06,29
2023-09-07,29
2023-09-08,31
2023-09-09,37
2023-09-10,37
2023-09-11,31
2023-09-12,30
2023-09-13,31
2023-09-14,29
2023-09-15,31
2023-09-16,36
2023-09-17,38
2023-09-18,31
2023-09-19,31
2023-09-20,30
2023-09-21,30
2023-09-22,32
2023-09-23,39
2023-09-24,38
2023-09-25,31
2023-09-26,31
2023-09-27,35
2023-09-28,33
2023-09-29,32
2023-09-30,38
2023-10-01,41
2023-10-02,32
2023-10-03,32
2023-10-04,31
2023-10-05,32
2023-10-06,35
2023-10-07,38
2023-10-08,39
2023-10-09,34
2023-10-10,31
2023-10-11,31
2023-10-12,31
2023-10-13,32
2023-10-14,36
2023-10-15,39
2023-10-16,33
2023-10-17,31
2023-10-18,30
2023-10-19,31
2023-10-20,33
2023-10-21,39
2023-10-22,39
2023-10-23,33
2023-10-24,33
2023-10-25,33
2023-10-26,33
2023-10-27,36
2023-10-28,38
2023-10-29,35
2023-10-30,37
2023-10-31,35
2023-11-01,31
2023-11-02,34
2023-11-03,36
2023-11-04,42
2023-11-05,40
2023-11-06,35
2023-11-07,35
2023-11-08,33
2023-11-09,35
2023-11-10,40
2023-11-11,46
2023-11-12,43
2023-11-13,36
2023-11-14,35
2023-11-15,38
2023-11-16,37
2023-11-17,40
2023-11-18,47
2023-11-19,53
2023-11-20,44
2023-11-21,46
2023-11-22,51
2023-11-23,79
2023-11-24,96
2023-11-25,66
2023-11-26,54
2023-11-27,50
2023-11-28,43
2023-11-29,38
2023-11-30,36
2023-12-01,40
2023-12-02,49
2023-12-03,48
2023-12-04,41
2023-12-05,40
2023-12-06,39
2023-12-07,39
2023-12-08,42
2023-12-09,50
2023-12-10,52
2023-12-11,41
2023-12-12,41
2023-12-13,44
2023-12-14,42
2023-12-15,45
2023-12-16,56
2023-12-17,57
2023-12-18,47
2023-12-19,50
2023-12-20,54
2023-12-21,58
2023-12-22,67
2023-12-23,79
2023-12-24,100
2023-12-25,63
2023-12-26,49
2023-12-27,43
2023-12-28,43
2023-12-29,44
2023-12-30,46
2023-12-31,56
2024-01-01,56
2024-01-02,40
2024-01-03,41
2024-01-04,38
2024-01-05,37
2024-01-06,42
2024-01-07,40
2024-01-08,32
2024-01-09,29
2024-01-10,29
2024-01-11,31
2024-01-12,31
2024-01-13,36
2024-01-14,35
2024-01-15,32
2024-01-16,27
2024-01-17,28
2024-01-18,28
2024-01-19,29
2024-01-20,36
