Time,rangers game
2024-08-18,60
2024-08-19,22
2024-08-20,29
2024-08-21,34
2024-08-22,20
2024-08-23,21
2024-08-24,34
2024-08-25,35
2024-08-26,17
2024-08-27,19
2024-08-28,46
2024-08-29,36
2024-08-30,28
2024-08-31,41
2024-09-01,60
2024-09-02,28
2024-09-03,45
2024-09-04,40
2024-09-05,41
2024-09-06,34
2024-09-07,51
2024-09-08,51
2024-09-09,15
2024-09-10,20
2024-09-11,29
2024-09-12,21
2024-09-13,33
2024-09-14,40
2024-09-15,33
2024-09-16,15
2024-09-17,21
2024-09-18,33
2024-09-19,35
2024-09-20,25
2024-09-21,41
2024-09-22,72
2024-09-23,18
2024-09-24,19
2024-09-25,31
2024-09-26,39
2024-09-27,21
2024-09-28,25
2024-09-29,26
2024-09-30,15
2024-10-01,22
2024-10-02,19
2024-10-03,11
2024-10-04,14
2024-10-05,17
2024-10-06,11
2024-10-07,9
2024-10-08,10
2024-10-09,29
2024-10-10,28
2024-10-11,12
2024-10-12,36
2024-10-13,38
2024-10-14,27
2024-10-15,30
2024-10-16,11
2024-10-17,18
2024-10-18,26
2024-10-19,25
2024-10-20,23
2024-10-21,10
2024-10-22,16
2024-10-23,20
2024-10-24,22
2024-10-25,17
2024-10-26,29
2024-10-27,27
2024-10-28,14
2024-10-29,16
2024-10-30,24
2024-10-31,12
2024-11-01,28
2024-11-02,25
2024-11-03,41
2024-11-04,7
2024-11-05,11
2024-11-06,5
2024-11-07,17
2024-11-08,22
2024-11-09,16
2024-11-10,27
2024-11-11,15
2024-11-12,18
2024-11-13,24
2024-11-14,16
2024-11-15,27
2024-11-16,11
2024-11-17,15
2024-11-18,18
2024-11-19,10
2024-11-20,18
2024-11-21,11
2024-11-22,16
2024-11-23,15
2024-11-24,23
2024-11-25,15
2024-11-26,23
2024-11-27,14
2024-11-28,29
2024-11-29,26
2024-11-30,32
2024-12-01,17
2024-12-02,18
2024-12-03,27
2024-12-04,9
2024-12-05,10
2024-12-06,21
2024-12-07,47
2024-12-08,31
2024-12-09,18
2024-12-10,28
2024-12-11,14
2024-12-12,23
2024-12-13,14
2024-12-14,35
2024-12-15,23
2024-12-16,14
2024-12-17,14
2024-12-18,19
2024-12-19,12
2024-12-20,12
2024-12-21,22
2024-12-22,29
2024-12-23,31
2024-12-24,12
2024-12-25,12
2024-12-26,9
2024-12-27,8
2024-12-28,15
2024-12-29,24
2024-12-30,12
2024-12-31,23
2025-01-01,14
2025-01-02,23
2025-01-03,30
2025-01-04,27
2025-01-05,26
2025-01-06,12
2025-01-07,16
2025-01-08,27
2025-01-09,21
2025-01-10,32
2025-01-11,30
2025-01-12,28
2025-01-13,11
2025-01-14,12
2025-01-15,20
2025-01-16,11
2025-01-17,22
2025-01-18,22
2025-01-19,33
2025-01-20,26
2025-01-21,17
2025-01-22,28
2025-01-23,18
2025-01-24,27
2025-01-25,12
2025-01-26,41
2025-01-27,9
2025-01-28,19
2025-01-29,29
2025-01-30,14
2025-01-31,9
2025-02-01,31
2025-02-02,26
2025-02-03,18
2025-02-04,9
2025-02-05,18
2025-02-06,28
2025-02-07,18
2025-02-08,35
2025-02-09,21
2025-02-10,11
2025-02-11,9
2025-02-12,7
2025-02-13,9
2025-02-14,6
2025-02-15,9
2025-02-16,14
2025-02-17,9
2025-02-18,10
2025-02-19,8
2025-02-20,8
2025-02-21,15
2025-02-22,31
2025-02-23,43
2025-02-24,11
2025-02-25,22
2025-02-26,29
2025-02-27,13
2025-02-28,23
2025-03-01,33
2025-03-02,24
2025-03-03,26
2025-03-04,28
2025-03-05,16
2025-03-06,37
2025-03-07,13
2025-03-08,29
2025-03-09,32
2025-03-10,16
2025-03-11,12
2025-03-12,24
2025-03-13,21
2025-03-14,21
2025-03-15,23
2025-03-16,36
2025-03-17,22
2025-03-18,25
2025-03-19,26
2025-03-20,22
2025-03-21,25
2025-03-22,36
2025-03-23,17
2025-03-24,16
2025-03-25,29
2025-03-26,26
2025-03-27,100
2025-03-28,49
2025-03-29,79
2025-03-30,87
2025-03-31,32
2025-04-01,37
2025-04-02,46
2025-04-03,35
2025-04-04,30
2025-04-05,90
2025-04-06,68
2025-04-07,36
2025-04-08,41
2025-04-09,43
2025-04-10,38
2025-04-11,27
2025-04-12,47
2025-04-13,44
2025-04-14,22
2025-04-15,30
2025-04-16,36
2025-04-17,49
2025-04-18,63
2025-04-19,70
2025-04-20,74
2025-04-21,22
2025-04-22,18
2025-04-23,29
2025-04-24,28
2025-04-25,28
2025-04-26,47
2025-04-27,36
2025-04-28,30
2025-04-29,33
2025-04-30,40
2025-05-01,48
2025-05-02,29
2025-05-03,49
2025-05-04,58
2025-05-05,17
2025-05-06,18
2025-05-07,27
2025-05-08,25
2025-05-09,26
2025-05-10,24
2025-05-11,36
2025-05-12,27
2025-05-13,32
2025-05-14,35
