Time,rangers game
2023-12-22,4
2023-12-23,12
2023-12-24,8
2023-12-25,3
2023-12-26,2
2023-12-27,4
2023-12-28,7
2023-12-29,3
2023-12-30,6
2023-12-31,5
2024-01-01,3
2024-01-02,3
2024-01-03,6
2024-01-04,3
2024-01-05,5
2024-01-06,3
2024-01-07,6
2024-01-08,4
2024-01-09,5
2024-01-10,2
2024-01-11,3
2024-01-12,4
2024-01-13,6
2024-01-14,8
2024-01-15,3
2024-01-16,3
2024-01-17,5
2024-01-18,3
2024-01-19,4
2024-01-20,3
2024-01-21,5
2024-01-22,4
2024-01-23,3
2024-01-24,5
2024-01-25,2
2024-01-26,5
2024-01-27,8
2024-01-28,6
2024-01-29,3
2024-01-30,3
2024-01-31,2
2024-02-01,2
2024-02-02,2
2024-02-03,3
2024-02-04,2
2024-02-05,3
2024-02-06,5
2024-02-07,3
2024-02-08,6
2024-02-09,3
2024-02-10,5
2024-02-11,2
2024-02-12,3
2024-02-13,6
2024-02-14,3
2024-02-15,4
2024-02-16,6
2024-02-17,5
2024-02-18,35
2024-02-19,10
2024-02-20,4
2024-02-21,7
2024-02-22,4
2024-02-23,10
2024-02-24,11
2024-02-25,9
2024-02-26,6
2024-02-27,3
2024-02-28,5
2024-02-29,8
2024-03-01,4
2024-03-02,6
2024-03-03,9
2024-03-04,5
2024-03-05,8
2024-03-06,3
2024-03-07,3
2024-03-08,3
2024-03-09,6
2024-03-10,12
2024-03-11,7
2024-03-12,9
2024-03-13,5
2024-03-14,4
2024-03-15,5
2024-03-16,7
2024-03-17,12
2024-03-18,4
2024-03-19,5
2024-03-20,6
2024-03-21,6
2024-03-22,6
2024-03-23,6
2024-03-24,12
2024-03-25,4
2024-03-26,8
2024-03-27,9
2024-03-28,19
2024-03-29,36
2024-03-30,22
2024-03-31,34
2024-04-01,14
2024-04-02,17
2024-04-03,17
2024-04-04,20
2024-04-05,15
2024-04-06,35
2024-04-07,28
2024-04-08,17
2024-04-09,17
2024-04-10,18
2024-04-11,17
2024-04-12,12
2024-04-13,30
2024-04-14,16
2024-04-15,11
2024-04-16,15
2024-04-17,12
2024-04-18,12
2024-04-19,11
2024-04-20,17
2024-04-21,52
2024-04-22,16
2024-04-23,23
2024-04-24,32
2024-04-25,21
2024-04-26,22
2024-04-27,38
2024-04-28,34
2024-04-29,31
2024-04-30,11
2024-05-01,20
2024-05-02,25
2024-05-03,17
2024-05-04,19
2024-05-05,64
2024-05-06,19
2024-05-07,31
2024-05-08,64
2024-05-09,32
2024-05-10,54
2024-05-11,47
2024-05-12,63
2024-05-13,30
2024-05-14,60
2024-05-15,32
2024-05-16,43
2024-05-17,73
2024-05-18,30
2024-05-19,34
2024-05-20,15
2024-05-21,15
2024-05-22,28
2024-05-23,68
2024-05-24,25
2024-05-25,94
2024-05-26,100
2024-05-27,34
2024-05-28,33
2024-05-29,83
2024-05-30,31
2024-05-31,81
2024-06-01,46
2024-06-02,97
2024-06-03,12
2024-06-04,10
2024-06-05,11
2024-06-06,9
2024-06-07,10
2024-06-08,16
2024-06-09,17
2024-06-10,6
2024-06-11,5
2024-06-12,8
2024-06-13,7
2024-06-14,7
2024-06-15,12
2024-06-16,9
2024-06-17,7
2024-06-18,10
2024-06-19,11
2024-06-20,8
2024-06-21,7
2024-06-22,16
2024-06-23,14
2024-06-24,6
2024-06-25,8
2024-06-26,7
2024-06-27,5
2024-06-28,6
2024-06-29,8
2024-06-30,10
2024-07-01,8
2024-07-02,8
2024-07-03,10
2024-07-04,18
2024-07-05,7
2024-07-06,13
2024-07-07,10
2024-07-08,6
2024-07-09,7
2024-07-10,7
2024-07-11,7
2024-07-12,6
2024-07-13,11
2024-07-14,9
2024-07-15,6
2024-07-16,7
2024-07-17,6
2024-07-18,3
2024-07-19,6
2024-07-20,12
2024-07-21,14
2024-07-22,6
2024-07-23,11
2024-07-24,8
2024-07-25,13
2024-07-26,7
2024-07-27,11
2024-07-28,6
2024-07-29,4
2024-07-30,6
2024-07-31,6
2024-08-01,4
2024-08-02,5
2024-08-03,10
2024-08-04,13
2024-08-05,6
2024-08-06,10
2024-08-07,11
2024-08-08,4
2024-08-09,6
2024-08-10,10
2024-08-11,8
2024-08-12,4
2024-08-13,6
2024-08-14,6
2024-08-15,6
2024-08-16,9
2024-08-17,11
2024-08-18,12
2024-08-19,5
2024-08-20,6
2024-08-21,7
2024-08-22,4
2024-08-23,4
2024-08-24,7
2024-08-25,7
2024-08-26,3
2024-08-27,4
2024-08-28,9
2024-08-29,7
2024-08-30,6
2024-08-31,8
2024-09-01,12
2024-09-02,6
2024-09-03,9
2024-09-04,8
2024-09-05,8
2024-09-06,7
2024-09-07,10
2024-09-08,10
2024-09-09,3
2024-09-10,4
2024-09-11,6
2024-09-12,4
2024-09-13,7
2024-09-14,8
2024-09-15,7
2024-09-16,3
