Time,ian hurricane
2025-12-11,33
2025-12-12,47
2025-12-13,0
2025-12-14,0
2025-12-15,41
2025-12-16,37
2025-12-17,46
2025-12-18,37
2025-12-19,34
2025-12-20,0
2025-12-21,0
2025-12-22,33
2025-12-23,0
2025-12-24,0
2025-12-25,0
2025-12-26,30
2025-12-27,32
2025-12-28,47
2025-12-29,56
2025-12-30,51
2025-12-31,54
2026-01-01,32
2026-01-02,0
2026-01-03,61
2026-01-04,0
2026-01-05,0
2026-01-06,39
2026-01-07,25
2026-01-08,54
2026-01-09,33
2026-01-10,37
2026-01-11,49
2026-01-12,0
2026-01-13,47
2026-01-14,53
2026-01-15,32
2026-01-16,61
2026-01-17,54
2026-01-18,54
2026-01-19,32
2026-01-20,48
2026-01-21,86
2026-01-22,53
2026-01-23,63
2026-01-24,70
2026-01-25,78
2026-01-26,64
2026-01-27,32
2026-01-28,67
2026-01-29,74
2026-01-30,83
2026-01-31,70
2026-02-01,83
2026-02-02,65
2026-02-03,83
2026-02-04,73
2026-02-05,68
2026-02-06,66
2026-02-07,53
2026-02-08,64
2026-02-09,56
2026-02-10,40
2026-02-11,65
2026-02-12,45
2026-02-13,64
2026-02-14,30
2026-02-15,64
2026-02-16,88
2026-02-17,100
2026-02-18,58
2026-02-19,63
2026-02-20,51
2026-02-21,54
2026-02-22,66
2026-02-23,66
2026-02-24,49
2026-02-25,43
2026-02-26,50
2026-02-27,56
2026-02-28,0
2026-03-01,51
2026-03-02,63
2026-03-03,51
2026-03-04,54
2026-03-05,53
2026-03-06,51
2026-03-07,60
2026-03-08,33
2026-03-09,53
2026-03-10,54
2026-03-11,61
2026-03-12,46
2026-03-13,56
2026-03-14,50
2026-03-15,54
2026-03-16,40
2026-03-17,61
2026-03-18,47
2026-03-19,65
2026-03-20,70
2026-03-21,70
2026-03-22,51
2026-03-23,62
2026-03-24,60
2026-03-25,62
2026-03-26,68
2026-03-27,48
2026-03-28,69
2026-03-29,71
2026-03-30,40
2026-03-31,54
2026-04-01,47
2026-04-02,44
2026-04-03,65
2026-04-04,39
2026-04-05,49
2026-04-06,53
2026-04-07,55
2026-04-08,55
2026-04-09,62
2026-04-10,46
2026-04-11,59
2026-04-12,87
2026-04-13,61
2026-04-14,72
2026-04-15,60
2026-04-16,32
2026-04-17,55
2026-04-18,67
2026-04-19,36
2026-04-20,46
2026-04-21,55
2026-04-22,64
2026-04-23,46
2026-04-24,0
2026-04-25,35
2026-04-26,52
2026-04-27,0
2026-04-28,0
2026-04-29,64
2026-04-30,0
2026-05-01,49
2026-05-02,40
2026-05-03,62
2026-05-04,36
2026-05-05,35
2026-05-06,71
2026-05-07,52
2026-05-08,57
2026-05-09,58
2026-05-10,0
2026-05-11,46
2026-05-12,51
2026-05-13,31
2026-05-14,41
2026-05-15,35
2026-05-16,42
2026-05-17,51
2026-05-18,53
2026-05-19,50
2026-05-20,42
2026-05-21,61
2026-05-22,54
2026-05-23,79
2026-05-24,63
2026-05-25,53
2026-05-26,28
2026-05-27,35
2026-05-28,42
2026-05-29,53
2026-05-30,0
2026-05-31,61
