Time,ian hurricane
2023-12-22,22
2023-12-23,11
2023-12-24,13
2023-12-25,24
2023-12-26,21
2023-12-27,26
2023-12-28,33
2023-12-29,23
2023-12-30,23
2023-12-31,34
2024-01-01,24
2024-01-02,20
2024-01-03,24
2024-01-04,29
2024-01-05,32
2024-01-06,28
2024-01-07,26
2024-01-08,25
2024-01-09,36
2024-01-10,38
2024-01-11,28
2024-01-12,31
2024-01-13,26
2024-01-14,20
2024-01-15,24
2024-01-16,18
2024-01-17,23
2024-01-18,25
2024-01-19,21
2024-01-20,17
2024-01-21,17
2024-01-22,23
2024-01-23,28
2024-01-24,15
2024-01-25,35
2024-01-26,26
2024-01-27,23
2024-01-28,22
2024-01-29,27
2024-01-30,22
2024-01-31,26
2024-02-01,38
2024-02-02,33
2024-02-03,21
2024-02-04,26
2024-02-05,35
2024-02-06,34
2024-02-07,30
2024-02-08,30
2024-02-09,32
2024-02-10,34
2024-02-11,23
2024-02-12,27
2024-02-13,34
2024-02-14,29
2024-02-15,28
2024-02-16,33
2024-02-17,18
2024-02-18,25
2024-02-19,28
2024-02-20,38
2024-02-21,31
2024-02-22,33
2024-02-23,26
2024-02-24,16
2024-02-25,24
2024-02-26,28
2024-02-27,32
2024-02-28,33
2024-02-29,34
2024-03-01,26
2024-03-02,30
2024-03-03,20
2024-03-04,25
2024-03-05,31
2024-03-06,33
2024-03-07,24
2024-03-08,26
2024-03-09,25
2024-03-10,25
2024-03-11,35
2024-03-12,29
2024-03-13,26
2024-03-14,32
2024-03-15,27
2024-03-16,24
2024-03-17,32
2024-03-18,32
2024-03-19,34
2024-03-20,29
2024-03-21,36
2024-03-22,31
2024-03-23,23
2024-03-24,25
2024-03-25,25
2024-03-26,36
2024-03-27,38
2024-03-28,32
2024-03-29,31
2024-03-30,27
2024-03-31,24
2024-04-01,25
2024-04-02,32
2024-04-03,34
2024-04-04,31
2024-04-05,30
2024-04-06,33
2024-04-07,24
2024-04-08,32
2024-04-09,30
2024-04-10,35
2024-04-11,32
2024-04-12,25
2024-04-13,31
2024-04-14,28
2024-04-15,30
2024-04-16,28
2024-04-17,22
2024-04-18,31
2024-04-19,25
2024-04-20,19
2024-04-21,24
2024-04-22,33
2024-04-23,26
2024-04-24,24
2024-04-25,24
2024-04-26,26
2024-04-27,26
2024-04-28,31
2024-04-29,24
2024-04-30,30
2024-05-01,21
2024-05-02,28
2024-05-03,24
2024-05-04,11
2024-05-05,27
2024-05-06,18
2024-05-07,31
2024-05-08,20
2024-05-09,21
2024-05-10,33
2024-05-11,27
2024-05-12,19
2024-05-13,24
2024-05-14,23
2024-05-15,25
2024-05-16,37
2024-05-17,25
2024-05-18,19
2024-05-19,18
2024-05-20,31
2024-05-21,18
2024-05-22,32
2024-05-23,25
2024-05-24,26
2024-05-25,18
2024-05-26,24
2024-05-27,24
2024-05-28,32
2024-05-29,31
2024-05-30,25
2024-05-31,23
2024-06-01,28
2024-06-02,19
2024-06-03,28
2024-06-04,19
2024-06-05,30
2024-06-06,26
2024-06-07,21
2024-06-08,18
2024-06-09,21
2024-06-10,30
2024-06-11,37
2024-06-12,29
2024-06-13,24
2024-06-14,27
2024-06-15,26
2024-06-16,23
2024-06-17,25
2024-06-18,29
2024-06-19,32
2024-06-20,25
2024-06-21,22
2024-06-22,20
2024-06-23,29
2024-06-24,15
2024-06-25,25
2024-06-26,19
2024-06-27,23
2024-06-28,19
2024-06-29,42
2024-06-30,48
2024-07-01,61
2024-07-02,54
2024-07-03,44
2024-07-04,37
2024-07-05,35
2024-07-06,29
2024-07-07,45
2024-07-08,51
2024-07-09,47
2024-07-10,30
2024-07-11,29
2024-07-12,31
2024-07-13,15
2024-07-14,20
2024-07-15,28
2024-07-16,21
2024-07-17,17
2024-07-18,21
2024-07-19,19
2024-07-20,28
2024-07-21,17
2024-07-22,22
2024-07-23,25
2024-07-24,21
2024-07-25,24
2024-07-26,21
2024-07-27,14
2024-07-28,22
2024-07-29,19
2024-07-30,12
2024-07-31,22
2024-08-01,37
2024-08-02,51
2024-08-03,50
2024-08-04,94
2024-08-05,100
2024-08-06,54
2024-08-07,42
2024-08-08,36
2024-08-09,29
2024-08-10,31
2024-08-11,27
2024-08-12,25
2024-08-13,31
2024-08-14,28
2024-08-15,24
2024-08-16,23
2024-08-17,18
2024-08-18,23
2024-08-19,24
2024-08-20,18
2024-08-21,23
2024-08-22,21
2024-08-23,29
2024-08-24,17
2024-08-25,17
2024-08-26,32
2024-08-27,31
2024-08-28,27
2024-08-29,22
2024-08-30,20
2024-08-31,22
2024-09-01,13
2024-09-02,26
2024-09-03,24
2024-09-04,28
2024-09-05,27
2024-09-06,18
2024-09-07,18
2024-09-08,13
2024-09-09,23
2024-09-10,33
2024-09-11,40
2024-09-12,31
2024-09-13,18
2024-09-14,22
2024-09-15,26
2024-09-16,28
