Time,where's my refund
2022-01-01,1
2022-01-02,1
2022-01-03,4
2022-01-04,4
2022-01-05,3
2022-01-06,3
2022-01-07,2
2022-01-08,2
2022-01-09,1
2022-01-10,2
2022-01-11,3
2022-01-12,2
2022-01-13,3
2022-01-14,2
2022-01-15,2
2022-01-16,1
2022-01-17,2
2022-01-18,2
2022-01-19,3
2022-01-20,4
2022-01-21,5
2022-01-22,5
2022-01-23,4
2022-01-24,13
2022-01-25,14
2022-01-26,18
2022-01-27,20
2022-01-28,22
2022-01-29,20
2022-01-30,17
2022-01-31,25
2022-02-01,30
2022-02-02,33
2022-02-03,31
2022-02-04,41
2022-02-05,37
2022-02-06,29
2022-02-07,52
2022-02-08,51
2022-02-09,53
2022-02-10,51
2022-02-11,61
2022-02-12,59
2022-02-13,42
2022-02-14,64
2022-02-15,86
2022-02-16,100
2022-02-17,97
2022-02-18,90
2022-02-19,78
2022-02-20,47
2022-02-21,64
2022-02-22,79
2022-02-23,84
2022-02-24,73
2022-02-25,53
2022-02-26,46
2022-02-27,38
2022-02-28,63
2022-03-01,72
2022-03-02,69
2022-03-03,59
2022-03-04,59
2022-03-05,50
2022-03-06,36
2022-03-07,57
2022-03-08,59
2022-03-09,56
2022-03-10,50
2022-03-11,49
2022-03-12,39
2022-03-13,29
2022-03-14,47
2022-03-15,50
2022-03-16,44
2022-03-17,41
2022-03-18,41
2022-03-19,31
2022-03-20,22
2022-03-21,41
2022-03-22,39
2022-03-23,39
2022-03-24,35
2022-03-25,33
2022-03-26,25
2022-03-27,18
2022-03-28,30
2022-03-29,32
2022-03-30,31
2022-03-31,29
2022-04-01,27
2022-04-02,22
2022-04-03,17
2022-04-04,35
2022-04-05,31
2022-04-06,29
2022-04-07,27
2022-04-08,26
2022-04-09,22
2022-04-10,17
2022-04-11,29
2022-04-12,31
2022-04-13,30
2022-04-14,27
2022-04-15,28
2022-04-16,18
2022-04-17,17
2022-04-18,33
2022-04-19,32
2022-04-20,30
2022-04-21,30
2022-04-22,30
2022-04-23,21
2022-04-24,16
2022-04-25,31
2022-04-26,31
2022-04-27,27
2022-04-28,24
2022-04-29,21
2022-04-30,17
2022-05-01,14
2022-05-02,23
2022-05-03,21
2022-05-04,20
2022-05-05,16
2022-05-06,19
2022-05-07,14
2022-05-08,10
2022-05-09,18
2022-05-10,18
2022-05-11,15
2022-05-12,16
2022-05-13,16
2022-05-14,13
2022-05-15,10
2022-05-16,16
2022-05-17,16
2022-05-18,15
2022-05-19,14
2022-05-20,13
2022-05-21,11
2022-05-22,9
2022-05-23,15
2022-05-24,15
2022-05-25,13
2022-05-26,13
2022-05-27,12
2022-05-28,9
2022-05-29,7
2022-05-30,8
2022-05-31,13
2022-06-01,13
2022-06-02,12
2022-06-03,11
2022-06-04,8
2022-06-05,6
2022-06-06,12
2022-06-07,12
2022-06-08,11
2022-06-09,11
2022-06-10,10
2022-06-11,7
2022-06-12,6
2022-06-13,11
2022-06-14,10
2022-06-15,11
2022-06-16,9
2022-06-17,9
2022-06-18,7
2022-06-19,5
2022-06-20,9
2022-06-21,10
2022-06-22,11
2022-06-23,10
2022-06-24,9
2022-06-25,7
2022-06-26,6
2022-06-27,10
2022-06-28,10
2022-06-29,10
2022-06-30,9
2022-07-01,8
2022-07-02,7
2022-07-03,5
2022-07-04,5
2022-07-05,9
2022-07-06,10
2022-07-07,10
2022-07-08,8
2022-07-09,7
2022-07-10,5
2022-07-11,9
2022-07-12,9
2022-07-13,9
2022-07-14,8
2022-07-15,8
2022-07-16,6
2022-07-17,5
2022-07-18,8
2022-07-19,8
2022-07-20,8
2022-07-21,7
2022-07-22,7
2022-07-23,5
2022-07-24,4
2022-07-25,8
2022-07-26,8
2022-07-27,8
2022-07-28,7
2022-07-29,7
2022-07-30,5
2022-07-31,4
2022-08-01,7
2022-08-02,8
2022-08-03,8
2022-08-04,7
2022-08-05,7
2022-08-06,5
2022-08-07,4
2022-08-08,7
2022-08-09,7
2022-08-10,7
2022-08-11,7
2022-08-12,6
2022-08-13,4
2022-08-14,4
2022-08-15,6
2022-08-16,7
2022-08-17,6
2022-08-18,6
2022-08-19,6
2022-08-20,4
2022-08-21,3
2022-08-22,6
2022-08-23,6
2022-08-24,6
2022-08-25,6
2022-08-26,5
2022-08-27,4
2022-08-28,3
2022-08-29,5
2022-08-30,5
2022-08-31,5
2022-09-01,4
2022-09-02,4
2022-09-03,4
2022-09-04,3
2022-09-05,3
2022-09-06,5
2022-09-07,5
2022-09-08,5
2022-09-09,4
2022-09-10,3
2022-09-11,2
2022-09-12,5
2022-09-13,5
2022-09-14,5
2022-09-15,4
2022-09-16,4
2022-09-17,3
2022-09-18,3
2022-09-19,5
2022-09-20,5
2022-09-21,5
2022-09-22,4
2022-09-23,4
2022-09-24,3
2022-09-25,3
2022-09-26,5
2022-09-27,4
