Time,where's my refund
2024-08-18,2
2024-08-19,3
2024-08-20,3
2024-08-21,2
2024-08-22,2
2024-08-23,2
2024-08-24,2
2024-08-25,1
2024-08-26,2
2024-08-27,2
2024-08-28,2
2024-08-29,2
2024-08-30,2
2024-08-31,1
2024-09-01,1
2024-09-02,1
2024-09-03,2
2024-09-04,2
2024-09-05,2
2024-09-06,2
2024-09-07,1
2024-09-08,1
2024-09-09,2
2024-09-10,2
2024-09-11,2
2024-09-12,2
2024-09-13,2
2024-09-14,1
2024-09-15,1
2024-09-16,2
2024-09-17,2
2024-09-18,2
2024-09-19,2
2024-09-20,1
2024-09-21,1
2024-09-22,1
2024-09-23,2
2024-09-24,2
2024-09-25,1
2024-09-26,1
2024-09-27,1
2024-09-28,1
2024-09-29,1
2024-09-30,2
2024-10-01,2
2024-10-02,2
2024-10-03,1
2024-10-04,1
2024-10-05,1
2024-10-06,1
2024-10-07,2
2024-10-08,2
2024-10-09,2
2024-10-10,1
2024-10-11,1
2024-10-12,1
2024-10-13,1
2024-10-14,1
2024-10-15,2
2024-10-16,2
2024-10-17,2
2024-10-18,2
2024-10-19,1
2024-10-20,1
2024-10-21,2
2024-10-22,2
2024-10-23,2
2024-10-24,1
2024-10-25,1
2024-10-26,1
2024-10-27,1
2024-10-28,2
2024-10-29,1
2024-10-30,1
2024-10-31,1
2024-11-01,1
2024-11-02,1
2024-11-03,1
2024-11-04,1
2024-11-05,1
2024-11-06,1
2024-11-07,1
2024-11-08,1
2024-11-09,1
2024-11-10,1
2024-11-11,1
2024-11-12,1
2024-11-13,1
2024-11-14,1
2024-11-15,1
2024-11-16,1
2024-11-17,1
2024-11-18,1
2024-11-19,1
2024-11-20,1
2024-11-21,1
2024-11-22,1
2024-11-23,1
2024-11-24,0
2024-11-25,1
2024-11-26,1
2024-11-27,1
2024-11-28,0
2024-11-29,1
2024-11-30,1
2024-12-01,1
2024-12-02,1
2024-12-03,1
2024-12-04,1
2024-12-05,1
2024-12-06,1
2024-12-07,1
2024-12-08,1
2024-12-09,1
2024-12-10,1
2024-12-11,1
2024-12-12,1
2024-12-13,1
2024-12-14,0
2024-12-15,0
2024-12-16,1
2024-12-17,1
2024-12-18,1
2024-12-19,1
2024-12-20,1
2024-12-21,0
2024-12-22,1
2024-12-23,1
2024-12-24,1
2024-12-25,0
2024-12-26,1
2024-12-27,1
2024-12-28,1
2024-12-29,1
2024-12-30,1
2024-12-31,1
2025-01-01,0
2025-01-02,1
2025-01-03,1
2025-01-04,1
2025-01-05,1
2025-01-06,1
2025-01-07,1
2025-01-08,1
2025-01-09,1
2025-01-10,1
2025-01-11,1
2025-01-12,1
2025-01-13,1
2025-01-14,1
2025-01-15,1
2025-01-16,2
2025-01-17,2
2025-01-18,2
2025-01-19,2
2025-01-20,3
2025-01-21,4
2025-01-22,5
2025-01-23,6
2025-01-24,7
2025-01-25,8
2025-01-26,7
2025-01-27,14
2025-01-28,17
2025-01-29,20
2025-01-30,21
2025-01-31,25
2025-02-01,24
2025-02-02,22
2025-02-03,32
2025-02-04,40
2025-02-05,43
2025-02-06,44
2025-02-07,43
2025-02-08,41
2025-02-09,32
2025-02-10,47
2025-02-11,53
2025-02-12,55
2025-02-13,59
2025-02-14,62
2025-02-15,69
2025-02-16,55
2025-02-17,74
2025-02-18,95
2025-02-19,100
2025-02-20,95
2025-02-21,81
2025-02-22,58
2025-02-23,38
2025-02-24,51
2025-02-25,48
2025-02-26,47
2025-02-27,32
2025-02-28,32
2025-03-01,24
2025-03-02,18
2025-03-03,28
2025-03-04,28
2025-03-05,27
2025-03-06,23
2025-03-07,24
2025-03-08,21
2025-03-09,15
2025-03-10,22
2025-03-11,21
2025-03-12,22
2025-03-13,18
2025-03-14,17
2025-03-15,16
2025-03-16,13
2025-03-17,17
2025-03-18,18
2025-03-19,16
2025-03-20,15
2025-03-21,16
2025-03-22,13
2025-03-23,11
2025-03-24,15
2025-03-25,15
2025-03-26,15
2025-03-27,14
2025-03-28,15
2025-03-29,12
2025-03-30,8
2025-03-31,13
2025-04-01,14
2025-04-02,12
2025-04-03,12
2025-04-04,13
2025-04-05,11
2025-04-06,8
2025-04-07,12
2025-04-08,13
2025-04-09,13
2025-04-10,12
2025-04-11,12
2025-04-12,10
2025-04-13,8
2025-04-14,13
2025-04-15,15
2025-04-16,15
2025-04-17,13
2025-04-18,13
2025-04-19,10
2025-04-20,7
2025-04-21,13
2025-04-22,15
2025-04-23,14
2025-04-24,11
2025-04-25,11
2025-04-26,8
2025-04-27,6
2025-04-28,10
2025-04-29,9
2025-04-30,9
2025-05-01,8
2025-05-02,8
2025-05-03,6
2025-05-04,5
2025-05-05,7
2025-05-06,7
2025-05-07,7
2025-05-08,6
2025-05-09,6
2025-05-10,4
2025-05-11,3
2025-05-12,6
2025-05-13,6
2025-05-14,6
