Time,petsmart
2022-01-01,88.0
2022-01-02,84.0
2022-01-03,66.0
2022-01-04,74.0
2022-01-05,64.0
2022-01-06,57.0
2022-01-07,62.0
2022-01-08,83.0
2022-01-09,82.0
2022-01-10,57.0
2022-01-11,60.0
2022-01-12,61.0
2022-01-13,72.0
2022-01-14,60.0
2022-01-15,81.0
2022-01-16,78.0
2022-01-17,60.0
2022-01-18,53.0
2022-01-19,55.0
2022-01-20,51.0
2022-01-21,58.0
2022-01-22,79.0
2022-01-23,77.0
2022-01-24,58.0
2022-01-25,50.0
2022-01-26,52.0
2022-01-27,54.0
2022-01-28,63.0
2022-01-29,76.0
2022-01-30,78.0
2022-01-31,61.0
2022-02-01,59.0
2022-02-02,57.0
2022-02-03,58.0
2022-02-04,62.0
2022-02-05,79.0
2022-02-06,86.0
2022-02-07,67.0
2022-02-08,57.0
2022-02-09,55.0
2022-02-10,54.0
2022-02-11,63.0
2022-02-12,74.0
2022-02-13,73.0
2022-02-14,51.0
2022-02-15,56.0
2022-02-16,55.0
2022-02-17,56.0
2022-02-18,65.0
2022-02-19,89.0
2022-02-20,93.0
2022-02-21,72.0
2022-02-22,62.0
2022-02-23,57.0
2022-02-24,56.0
2022-02-25,63.0
2022-02-26,89.0
2022-02-27,86.0
2022-02-28,64.0
2022-03-01,62.0
2022-03-02,61.0
2022-03-03,61.0
2022-03-04,66.0
2022-03-05,86.0
2022-03-06,91.0
2022-03-07,62.0
2022-03-08,59.0
2022-03-09,55.0
2022-03-10,59.0
2022-03-11,62.0
2022-03-12,76.0
2022-03-13,84.0
2022-03-14,64.0
2022-03-15,58.0
2022-03-16,58.0
2022-03-17,57.0
2022-03-18,60.0
2022-03-19,82.0
2022-03-20,84.0
2022-03-21,62.0
2022-03-22,57.0
2022-03-23,58.0
2022-03-24,57.0
2022-03-25,56.0
2022-03-26,80.0
2022-03-27,86.0
2022-03-28,52.0
2022-03-29,50.0
2022-03-30,52.0
2022-03-31,53.0
2022-04-01,61.0
2022-04-02,82.0
2022-04-03,84.0
2022-04-04,67.0
2022-04-05,51.0
2022-04-06,52.0
2022-04-07,55.0
2022-04-08,56.0
2022-04-09,86.0
2022-04-10,82.0
2022-04-11,55.0
2022-04-12,57.0
2022-04-13,50.0
2022-04-14,55.0
2022-04-15,69.0
2022-04-16,81.0
2022-04-17,98.0
2022-04-18,58.0
2022-04-19,51.0
2022-04-20,53.0
2022-04-21,57.0
2022-04-22,58.0
2022-04-23,73.0
2022-04-24,80.0
2022-04-25,54.0
