Time,alan jackson
2023-04-26,11
2023-04-27,11
2023-04-28,13
2023-04-29,19
2023-04-30,31
2023-05-01,14
2023-05-02,10
2023-05-03,11
2023-05-04,12
2023-05-05,12
2023-05-06,19
2023-05-07,22
2023-05-08,11
2023-05-09,14
2023-05-10,14
2023-05-11,16
2023-05-12,20
2023-05-13,22
2023-05-14,22
2023-05-15,16
2023-05-16,14
2023-05-17,12
2023-05-18,13
2023-05-19,14
2023-05-20,14
2023-05-21,16
2023-05-22,12
2023-05-23,12
2023-05-24,14
2023-05-25,12
2023-05-26,11
2023-05-27,15
2023-05-28,18
2023-05-29,18
2023-05-30,13
2023-05-31,11
2023-06-01,12
2023-06-02,12
2023-06-03,15
2023-06-04,18
2023-06-05,15
2023-06-06,13
2023-06-07,13
2023-06-08,14
2023-06-09,15
2023-06-10,17
2023-06-11,17
2023-06-12,11
2023-06-13,11
2023-06-14,14
2023-06-15,11
2023-06-16,12
2023-06-17,15
2023-06-18,19
2023-06-19,11
2023-06-20,11
2023-06-21,10
2023-06-22,10
2023-06-23,12
2023-06-24,15
2023-06-25,16
2023-06-26,12
2023-06-27,10
2023-06-28,10
2023-06-29,11
2023-06-30,13
2023-07-01,16
2023-07-02,17
2023-07-03,15
2023-07-04,26
2023-07-05,13
2023-07-06,13
2023-07-07,14
2023-07-08,17
2023-07-09,16
2023-07-10,12
2023-07-11,11
2023-07-12,11
2023-07-13,10
2023-07-14,12
2023-07-15,18
2023-07-16,16
2023-07-17,12
2023-07-18,10
2023-07-19,16
2023-07-20,16
2023-07-21,14
2023-07-22,16
2023-07-23,16
2023-07-24,16
2023-07-25,16
2023-07-26,15
2023-07-27,13
2023-07-28,14
2023-07-29,15
2023-07-30,19
2023-07-31,14
2023-08-01,14
2023-08-02,13
2023-08-03,15
2023-08-04,12
2023-08-05,16
2023-08-06,15
2023-08-07,10
2023-08-08,10
2023-08-09,29
2023-08-10,18
2023-08-11,15
2023-08-12,17
2023-08-13,18
2023-08-14,13
2023-08-15,12
2023-08-16,12
2023-08-17,13
2023-08-18,13
2023-08-19,17
2023-08-20,23
2023-08-21,14
2023-08-22,14
2023-08-23,14
2023-08-24,14
2023-08-25,17
2023-08-26,18
2023-08-27,19
2023-08-28,14
2023-08-29,13
2023-08-30,17
2023-08-31,22
2023-09-01,16
2023-09-02,57
2023-09-03,40
2023-09-04,33
2023-09-05,27
2023-09-06,21
2023-09-07,18
2023-09-08,15
2023-09-09,17
2023-09-10,18
2023-09-11,23
2023-09-12,14
2023-09-13,12
2023-09-14,16
2023-09-15,14
2023-09-16,18
2023-09-17,16
2023-09-18,12
2023-09-19,12
2023-09-20,13
2023-09-21,13
2023-09-22,13
2023-09-23,17
2023-09-24,21
2023-09-25,14
2023-09-26,11
2023-09-27,10
2023-09-28,11
2023-09-29,17
2023-09-30,15
2023-10-01,14
2023-10-02,10
2023-10-03,14
2023-10-04,11
2023-10-05,11
2023-10-06,13
2023-10-07,13
2023-10-08,16
2023-10-09,10
2023-10-10,12
2023-10-11,16
2023-10-12,14
2023-10-13,15
2023-10-14,17
2023-10-15,15
2023-10-16,11
2023-10-17,16
2023-10-18,16
2023-10-19,13
2023-10-20,12
2023-10-21,14
2023-10-22,12
2023-10-23,8
2023-10-24,9
2023-10-25,9
2023-10-26,10
2023-10-27,13
2023-10-28,12
2023-10-29,14
2023-10-30,9
2023-10-31,9
2023-11-01,10
2023-11-02,9
2023-11-03,10
2023-11-04,14
2023-11-05,12
2023-11-06,10
2023-11-07,11
2023-11-08,11
2023-11-09,100
2023-11-10,82
2023-11-11,33
2023-11-12,20
2023-11-13,12
2023-11-14,9
2023-11-15,10
2023-11-16,11
2023-11-17,10
2023-11-18,14
2023-11-19,12
2023-11-20,9
2023-11-21,10
2023-11-22,10
2023-11-23,14
2023-11-24,11
2023-11-25,13
2023-11-26,13
2023-11-27,8
2023-11-28,9
2023-11-29,8
2023-11-30,9
2023-12-01,9
2023-12-02,11
2023-12-03,12
2023-12-04,11
2023-12-05,14
2023-12-06,11
2023-12-07,10
2023-12-08,10
2023-12-09,13
2023-12-10,13
2023-12-11,8
2023-12-12,9
2023-12-13,8
2023-12-14,9
2023-12-15,11
2023-12-16,12
2023-12-17,12
2023-12-18,10
2023-12-19,9
2023-12-20,7
2023-12-21,11
2023-12-22,11
2023-12-23,13
2023-12-24,16
2023-12-25,17
2023-12-26,12
2023-12-27,9
2023-12-28,11
2023-12-29,15
2023-12-30,14
2023-12-31,18
2024-01-01,18
2024-01-02,10
2024-01-03,7
2024-01-04,9
2024-01-05,9
2024-01-06,11
2024-01-07,10
2024-01-08,7
2024-01-09,7
2024-01-10,7
2024-01-11,7
2024-01-12,9
2024-01-13,9
2024-01-14,8
2024-01-15,6
2024-01-16,7
2024-01-17,7
2024-01-18,6
2024-01-19,8
2024-01-20,11
