Time,jurassic world
2023-04-26,34
2023-04-27,34
2023-04-28,39
2023-04-29,50
2023-04-30,54
2023-05-01,35
2023-05-02,38
2023-05-03,32
2023-05-04,30
2023-05-05,35
2023-05-06,50
2023-05-07,52
2023-05-08,37
2023-05-09,33
2023-05-10,35
2023-05-11,42
2023-05-12,36
2023-05-13,47
2023-05-14,51
2023-05-15,50
2023-05-16,35
2023-05-17,37
2023-05-18,38
2023-05-19,34
2023-05-20,50
2023-05-21,50
2023-05-22,37
2023-05-23,37
2023-05-24,35
2023-05-25,37
2023-05-26,37
2023-05-27,54
2023-05-28,71
2023-05-29,62
2023-05-30,41
2023-05-31,47
2023-06-01,45
2023-06-02,44
2023-06-03,58
2023-06-04,60
2023-06-05,44
2023-06-06,47
2023-06-07,58
2023-06-08,64
2023-06-09,59
2023-06-10,68
2023-06-11,76
2023-06-12,60
2023-06-13,53
2023-06-14,56
2023-06-15,54
2023-06-16,49
2023-06-17,63
2023-06-18,87
2023-06-19,70
2023-06-20,56
2023-06-21,48
2023-06-22,47
2023-06-23,61
2023-06-24,66
2023-06-25,73
2023-06-26,65
2023-06-27,48
2023-06-28,48
2023-06-29,46
2023-06-30,46
2023-07-01,60
2023-07-02,72
2023-07-03,64
2023-07-04,70
2023-07-05,53
2023-07-06,55
2023-07-07,60
2023-07-08,80
2023-07-09,100
2023-07-10,73
2023-07-11,54
2023-07-12,49
2023-07-13,50
2023-07-14,53
2023-07-15,63
2023-07-16,82
2023-07-17,61
2023-07-18,49
2023-07-19,52
2023-07-20,51
2023-07-21,52
2023-07-22,74
2023-07-23,73
2023-07-24,51
2023-07-25,49
2023-07-26,45
2023-07-27,45
2023-07-28,50
2023-07-29,66
2023-07-30,59
2023-07-31,49
2023-08-01,44
2023-08-02,44
2023-08-03,47
2023-08-04,49
2023-08-05,59
2023-08-06,71
2023-08-07,74
2023-08-08,51
2023-08-09,47
2023-08-10,44
2023-08-11,51
2023-08-12,55
2023-08-13,69
2023-08-14,61
2023-08-15,43
2023-08-16,41
2023-08-17,41
2023-08-18,46
2023-08-19,57
2023-08-20,65
2023-08-21,47
2023-08-22,39
2023-08-23,37
2023-08-24,36
2023-08-25,38
2023-08-26,71
2023-08-27,77
2023-08-28,52
2023-08-29,39
2023-08-30,38
2023-08-31,36
2023-09-01,38
2023-09-02,66
2023-09-03,64
2023-09-04,60
2023-09-05,44
2023-09-06,34
2023-09-07,39
2023-09-08,32
2023-09-09,43
2023-09-10,55
2023-09-11,46
2023-09-12,32
2023-09-13,34
2023-09-14,33
2023-09-15,35
2023-09-16,42
2023-09-17,45
2023-09-18,34
2023-09-19,28
2023-09-20,31
2023-09-21,32
2023-09-22,32
2023-09-23,41
2023-09-24,45
2023-09-25,31
2023-09-26,30
2023-09-27,29
2023-09-28,32
2023-09-29,28
2023-09-30,41
2023-10-01,42
2023-10-02,30
2023-10-03,31
2023-10-04,29
2023-10-05,28
2023-10-06,31
2023-10-07,38
2023-10-08,36
2023-10-09,31
2023-10-10,32
2023-10-11,28
2023-10-12,31
2023-10-13,38
2023-10-14,36
2023-10-15,40
2023-10-16,28
2023-10-17,25
2023-10-18,31
2023-10-19,29
2023-10-20,35
2023-10-21,37
2023-10-22,41
2023-10-23,30
2023-10-24,27
2023-10-25,32
2023-10-26,32
2023-10-27,30
2023-10-28,39
2023-10-29,37
2023-10-30,29
2023-10-31,27
2023-11-01,28
2023-11-02,30
2023-11-03,35
2023-11-04,48
2023-11-05,45
2023-11-06,39
2023-11-07,32
2023-11-08,30
2023-11-09,34
2023-11-10,41
2023-11-11,43
2023-11-12,54
2023-11-13,35
2023-11-14,31
2023-11-15,32
2023-11-16,30
2023-11-17,34
2023-11-18,43
2023-11-19,44
2023-11-20,35
2023-11-21,34
2023-11-22,38
2023-11-23,52
2023-11-24,48
2023-11-25,55
2023-11-26,51
2023-11-27,39
2023-11-28,39
2023-11-29,35
2023-11-30,33
2023-12-01,36
2023-12-02,44
2023-12-03,54
2023-12-04,43
2023-12-05,37
2023-12-06,32
2023-12-07,39
2023-12-08,37
2023-12-09,57
2023-12-10,65
2023-12-11,39
2023-12-12,37
2023-12-13,35
2023-12-14,41
2023-12-15,38
2023-12-16,52
2023-12-17,50
2023-12-18,41
2023-12-19,39
2023-12-20,43
2023-12-21,39
2023-12-22,44
2023-12-23,51
2023-12-24,46
2023-12-25,59
2023-12-26,55
2023-12-27,52
2023-12-28,49
2023-12-29,52
2023-12-30,54
2023-12-31,56
2024-01-01,62
2024-01-02,52
2024-01-03,45
2024-01-04,41
2024-01-05,48
2024-01-06,64
2024-01-07,70
2024-01-08,48
2024-01-09,46
2024-01-10,44
2024-01-11,42
2024-01-12,46
2024-01-13,59
2024-01-14,69
2024-01-15,64
2024-01-16,42
2024-01-17,43
2024-01-18,42
2024-01-19,46
2024-01-20,59
