Time,sabrina_carpenter
2022-01-01,18.0
2022-01-02,18.0
2022-01-03,17.0
2022-01-04,18.0
2022-01-05,45.0
2022-01-06,19.0
2022-01-07,19.0
2022-01-08,16.0
2022-01-09,18.0
2022-01-10,12.0
2022-01-11,15.0
2022-01-12,11.0
2022-01-13,9.0
2022-01-14,10.0
2022-01-15,12.0
2022-01-16,12.0
2022-01-17,12.0
2022-01-18,10.0
2022-01-19,12.0
2022-01-20,15.0
2022-01-21,13.0
2022-01-22,20.0
2022-01-23,15.0
2022-01-24,14.0
2022-01-25,9.0
2022-01-26,8.0
2022-01-27,9.0
2022-01-28,8.0
2022-01-29,14.0
2022-01-30,14.0
2022-01-31,9.0
2022-02-01,10.0
2022-02-02,11.0
2022-02-03,11.0
2022-02-04,13.0
2022-02-05,15.0
2022-02-06,14.0
2022-02-07,11.0
2022-02-08,11.0
2022-02-09,12.0
2022-02-10,10.0
2022-02-11,14.0
2022-02-12,33.0
2022-02-13,30.0
2022-02-14,16.0
2022-02-15,18.0
2022-02-16,20.0
2022-02-17,20.0
2022-02-18,36.0
2022-02-19,41.0
2022-02-20,31.0
2022-02-21,27.0
2022-02-22,21.0
2022-02-23,17.0
2022-02-24,18.0
2022-02-25,18.0
2022-02-26,21.0
2022-02-27,18.0
2022-02-28,14.0
2022-03-01,11.0
2022-03-02,12.0
2022-03-03,8.0
2022-03-04,19.0
2022-03-05,16.0
2022-03-06,18.0
2022-03-07,12.0
2022-03-08,13.0
2022-03-09,10.0
2022-03-10,12.0
2022-03-11,11.0
2022-03-12,15.0
2022-03-13,15.0
2022-03-14,9.0
2022-03-15,10.0
2022-03-16,12.0
2022-03-17,9.0
2022-03-18,10.0
2022-03-19,10.0
2022-03-20,10.0
2022-03-21,11.0
2022-03-22,9.0
2022-03-23,12.0
2022-03-24,17.0
2022-03-25,16.0
2022-03-26,20.0
2022-03-27,19.0
2022-03-28,13.0
2022-03-29,12.0
2022-03-30,9.0
2022-03-31,13.0
2022-04-01,11.0
2022-04-02,14.0
2022-04-03,16.0
2022-04-04,19.0
2022-04-05,13.0
2022-04-06,12.0
2022-04-07,13.0
2022-04-08,13.0
2022-04-09,17.0
2022-04-10,16.0
2022-04-11,13.0
2022-04-12,13.0
2022-04-13,12.0
2022-04-14,13.0
2022-04-15,16.0
2022-04-16,16.0
2022-04-17,16.0
2022-04-18,16.0
2022-04-19,11.0
2022-04-20,11.0
2022-04-21,10.0
2022-04-22,11.0
2022-04-23,12.0
2022-04-24,13.0
2022-04-25,8.0
2022-04-26,10.0
2022-04-27,8.0
2022-04-28,10.0
2022-04-29,10.0
2022-04-30,12.0
2022-05-01,14.0
2022-05-02,13.0
2022-05-03,52.0
2022-05-04,27.0
2022-05-05,27.0
2022-05-06,25.0
2022-05-07,27.0
2022-05-08,20.0
2022-05-09,13.0
2022-05-10,11.0
2022-05-11,23.0
2022-05-12,45.0
2022-05-13,36.0
2022-05-14,28.0
2022-05-15,18.0
2022-05-16,14.0
2022-05-17,14.0
2022-05-18,8.0
2022-05-19,12.0
2022-05-20,12.0
2022-05-21,12.0
2022-05-22,11.0
2022-05-23,11.0
2022-05-24,12.0
2022-05-25,9.0
2022-05-26,10.0
2022-05-27,14.0
2022-05-28,18.0
2022-05-29,18.0
2022-05-30,18.0
2022-05-31,17.0
2022-06-01,11.0
2022-06-02,12.0
2022-06-03,11.0
2022-06-04,13.0
2022-06-05,17.0
2022-06-06,13.0
2022-06-07,12.0
2022-06-08,13.0
2022-06-09,12.0
2022-06-10,11.0
2022-06-11,14.0
2022-06-12,15.0
2022-06-13,12.0
2022-06-14,12.0
2022-06-15,11.0
2022-06-16,15.0
2022-06-17,11.0
2022-06-18,12.0
2022-06-19,10.0
2022-06-20,12.0
2022-06-21,10.0
2022-06-22,8.0
2022-06-23,11.0
2022-06-24,10.0
2022-06-25,8.0
2022-06-26,9.0
2022-06-27,15.0
2022-06-28,14.0
2022-06-29,13.0
2022-06-30,20.0
2022-07-01,30.0
2022-07-02,18.0
2022-07-03,18.0
2022-07-04,17.0
2022-07-05,13.0
2022-07-06,16.0
2022-07-07,17.0
2022-07-08,16.0
2022-07-09,13.0
2022-07-10,16.0
2022-07-11,13.0
2022-07-12,14.0
2022-07-13,17.0
2022-07-14,20.0
2022-07-15,95.0
2022-07-16,100.0
2022-07-17,77.0
2022-07-18,59.0
2022-07-19,53.0
2022-07-20,58.0
2022-07-21,48.0
2022-07-22,38.0
2022-07-23,34.0
2022-07-24,28.0
2022-07-25,28.0
2022-07-26,26.0
2022-07-27,24.0
2022-07-28,32.0
2022-07-29,32.0
2022-07-30,30.0
2022-07-31,30.0
2022-08-01,27.0
2022-08-02,28.0
2022-08-03,21.0
2022-08-04,23.0
2022-08-05,23.0
2022-08-06,24.0
2022-08-07,22.0
2022-08-08,19.0
2022-08-09,19.0
2022-08-10,19.0
2022-08-11,17.0
2022-08-12,16.0
2022-08-13,16.0
2022-08-14,16.0
2022-08-15,25.0
2022-08-16,36.0
2022-08-17,24.0
2022-08-18,20.0
2022-08-19,24.0
2022-08-20,21.0
2022-08-21,17.0
2022-08-22,16.0
2022-08-23,15.0
2022-08-24,13.0
2022-08-25,15.0
2022-08-26,16.0
2022-08-27,16.0
2022-08-28,20.0
2022-08-29,32.0
2022-08-30,21.857142857142854
2022-08-31,22.428571428571427
2022-09-01,16.0
2022-09-02,14.428571428571427
2022-09-03,14.928571428571427
2022-09-04,18.142857142857142
2022-09-05,17.07142857142857
2022-09-06,14.928571428571427
2022-09-07,14.928571428571427
2022-09-08,14.928571428571427
2022-09-09,10.642857142857142
2022-09-10,13.357142857142858
2022-09-11,20.285714285714285
2022-09-12,44.285714285714285
2022-09-13,32.0
2022-09-14,33.57142857142857
2022-09-15,25.07142857142857
2022-09-16,19.214285714285715
2022-09-17,17.07142857142857
2022-09-18,16.0
2022-09-19,14.928571428571427
2022-09-20,16.0
2022-09-21,16.0
2022-09-22,13.357142857142858
2022-09-23,17.07142857142857
2022-09-24,18.142857142857142
2022-09-25,19.714285714285715
2022-09-26,12.785714285714285
2022-09-27,14.928571428571427
2022-09-28,17.142857142857142
2022-09-29,19.428571428571427
2022-09-30,25.142857142857142
2022-10-01,30.857142857142854
2022-10-02,30.857142857142854
2022-10-03,26.285714285714285
2022-10-04,21.71428571428571
2022-10-05,21.71428571428571
2022-10-06,24.0
2022-10-07,27.428571428571427
2022-10-08,24.0
2022-10-09,19.428571428571427
2022-10-10,33.14285714285714
2022-10-11,26.285714285714285
2022-10-12,22.857142857142854
2022-10-13,26.285714285714285
2022-10-14,22.857142857142854
2022-10-15,25.142857142857142
2022-10-16,37.714285714285715
2022-10-17,35.42857142857142
2022-10-18,27.428571428571427
2022-10-19,20.57142857142857
2022-10-20,20.57142857142857
2022-10-21,28.57142857142857
2022-10-22,20.57142857142857
2022-10-23,20.57142857142857
2022-10-24,14.857142857142856
2022-10-25,13.714285714285714
2022-10-26,13.714285714285714
2022-10-27,14.857142857142856
2022-10-28,13.714285714285714
2022-10-29,19.428571428571427
2022-10-30,17.142857142857142
2022-10-31,17.142857142857142
2022-11-01,17.142857142857142
2022-11-02,17.142857142857142
2022-11-03,19.428571428571427
2022-11-04,17.142857142857142
2022-11-05,19.428571428571427
2022-11-06,14.857142857142856
2022-11-07,13.714285714285714
2022-11-08,12.571428571428571
2022-11-09,11.428571428571427
2022-11-10,13.714285714285714
2022-11-11,27.428571428571427
2022-11-12,28.57142857142857
2022-11-13,24.0
2022-11-14,24.0
2022-11-15,18.285714285714285
2022-11-16,19.428571428571427
2022-11-17,17.142857142857142
2022-11-18,18.285714285714285
2022-11-19,19.428571428571427
2022-11-20,17.142857142857142
2022-11-21,69.71428571428571
2022-11-22,52.57142857142857
2022-11-23,45.71428571428571
2022-11-24,35.42857142857142
2022-11-25,26.285714285714285
2022-11-26,27.428571428571427
2022-11-27,24.0
2022-11-28,21.71428571428571
2022-11-29,18.285714285714285
2022-11-30,17.142857142857142
2022-12-01,18.285714285714285
2022-12-02,24.0
2022-12-03,27.428571428571427
2022-12-04,24.0
2022-12-05,19.428571428571427
2022-12-06,20.57142857142857
2022-12-07,26.285714285714285
2022-12-08,28.57142857142857
2022-12-09,26.285714285714285
2022-12-10,32.0
2022-12-11,28.57142857142857
2022-12-12,62.857142857142854
2022-12-13,77.71428571428571
2022-12-14,51.42857142857142
2022-12-15,37.714285714285715
2022-12-16,44.57142857142857
2022-12-17,37.714285714285715
2022-12-18,30.857142857142854
2022-12-19,27.428571428571427
2022-12-20,25.142857142857142
2022-12-21,29.71428571428571
2022-12-22,24.0
2022-12-23,34.285714285714285
2022-12-24,29.71428571428571
2022-12-25,25.142857142857142
2022-12-26,26.285714285714285
2022-12-27,25.142857142857142
2022-12-28,26.285714285714285
2022-12-29,26.285714285714285
2022-12-30,21.71428571428571
2022-12-31,26.285714285714285
2023-01-01,20.57142857142857
2023-01-02,25.142857142857142
2023-01-03,16.0
2023-01-04,18.285714285714285
2023-01-05,21.71428571428571
2023-01-06,22.857142857142854
2023-01-07,22.857142857142854
2023-01-08,24.0
2023-01-09,22.857142857142854
2023-01-10,53.71428571428571
2023-01-11,42.285714285714285
2023-01-12,35.42857142857142
2023-01-13,28.57142857142857
2023-01-14,32.0
2023-01-15,27.428571428571427
2023-01-16,27.428571428571427
2023-01-17,20.57142857142857
2023-01-18,20.57142857142857
2023-01-19,22.857142857142854
2023-01-20,19.428571428571427
2023-01-21,21.71428571428571
2023-01-22,27.428571428571427
2023-01-23,19.428571428571427
2023-01-24,22.857142857142854
2023-01-25,22.857142857142854
2023-01-26,22.857142857142854
2023-01-27,19.428571428571427
2023-01-28,21.71428571428571
2023-01-29,21.71428571428571
2023-01-30,19.428571428571427
2023-01-31,17.142857142857142
2023-02-01,20.57142857142857
2023-02-02,24.0
2023-02-03,22.857142857142854
2023-02-04,28.57142857142857
2023-02-05,32.0
2023-02-06,32.0
2023-02-07,26.285714285714285
2023-02-08,24.0
2023-02-09,20.57142857142857
2023-02-10,20.57142857142857
2023-02-11,25.142857142857142
2023-02-12,21.71428571428571
2023-02-13,17.142857142857142
2023-02-14,19.428571428571427
2023-02-15,19.428571428571427
2023-02-16,18.285714285714285
2023-02-17,19.428571428571427
2023-02-18,21.71428571428571
2023-02-19,25.142857142857142
2023-02-20,36.57142857142857
2023-02-21,32.0
2023-02-22,22.857142857142854
2023-02-23,20.57142857142857
2023-02-24,20.57142857142857
2023-02-25,26.285714285714285
2023-02-26,24.0
2023-02-27,33.14285714285714
2023-02-28,114.28571428571428
2023-03-01,54.857142857142854
2023-03-02,38.857142857142854
2023-03-03,34.285714285714285
2023-03-04,40.0
2023-03-05,32.0
2023-03-06,28.57142857142857
2023-03-07,25.142857142857142
2023-03-08,24.0
2023-03-09,26.285714285714285
