Time,tmz
2023-04-26,32
2023-04-27,40
2023-04-28,33
2023-04-29,33
2023-04-30,32
2023-05-01,35
2023-05-02,34
2023-05-03,39
2023-05-04,35
2023-05-05,34
2023-05-06,37
2023-05-07,38
2023-05-08,38
2023-05-09,35
2023-05-10,34
2023-05-11,39
2023-05-12,38
2023-05-13,35
2023-05-14,35
2023-05-15,36
2023-05-16,37
2023-05-17,39
2023-05-18,35
2023-05-19,37
2023-05-20,35
2023-05-21,34
2023-05-22,33
2023-05-23,35
2023-05-24,40
2023-05-25,35
2023-05-26,33
2023-05-27,31
2023-05-28,34
2023-05-29,33
2023-05-30,36
2023-05-31,33
2023-06-01,37
2023-06-02,37
2023-06-03,34
2023-06-04,35
2023-06-05,36
2023-06-06,36
2023-06-07,33
2023-06-08,36
2023-06-09,35
2023-06-10,33
2023-06-11,34
2023-06-12,38
2023-06-13,36
2023-06-14,36
2023-06-15,33
2023-06-16,37
2023-06-17,36
2023-06-18,38
2023-06-19,36
2023-06-20,36
2023-06-21,37
2023-06-22,39
2023-06-23,36
2023-06-24,34
2023-06-25,40
2023-06-26,41
2023-06-27,36
2023-06-28,36
2023-06-29,37
2023-06-30,34
2023-07-01,35
2023-07-02,34
2023-07-03,37
2023-07-04,37
2023-07-05,39
2023-07-06,37
2023-07-07,42
2023-07-08,39
2023-07-09,33
2023-07-10,35
2023-07-11,33
2023-07-12,34
2023-07-13,34
2023-07-14,33
2023-07-15,30
2023-07-16,33
2023-07-17,35
2023-07-18,35
2023-07-19,35
2023-07-20,35
2023-07-21,36
2023-07-22,33
2023-07-23,32
2023-07-24,37
2023-07-25,39
2023-07-26,44
2023-07-27,39
2023-07-28,34
2023-07-29,33
2023-07-30,32
2023-07-31,42
2023-08-01,38
2023-08-02,32
2023-08-03,33
2023-08-04,34
2023-08-05,34
2023-08-06,33
2023-08-07,36
2023-08-08,39
2023-08-09,38
2023-08-10,41
2023-08-11,38
2023-08-12,32
2023-08-13,32
2023-08-14,35
2023-08-15,34
2023-08-16,35
2023-08-17,37
2023-08-18,34
2023-08-19,35
2023-08-20,34
2023-08-21,36
2023-08-22,37
2023-08-23,39
2023-08-24,34
2023-08-25,34
2023-08-26,35
2023-08-27,35
2023-08-28,32
2023-08-29,34
2023-08-30,33
2023-08-31,32
2023-09-01,32
2023-09-02,39
2023-09-03,36
2023-09-04,41
2023-09-05,36
2023-09-06,36
2023-09-07,38
2023-09-08,34
2023-09-09,31
2023-09-10,30
2023-09-11,33
2023-09-12,33
2023-09-13,38
2023-09-14,31
2023-09-15,34
2023-09-16,33
2023-09-17,34
2023-09-18,34
2023-09-19,35
2023-09-20,34
2023-09-21,34
2023-09-22,33
2023-09-23,35
2023-09-24,39
2023-09-25,37
2023-09-26,37
2023-09-27,34
2023-09-28,38
2023-09-29,36
2023-09-30,34
2023-10-01,37
2023-10-02,36
2023-10-03,35
2023-10-04,34
2023-10-05,33
2023-10-06,32
2023-10-07,30
2023-10-08,32
2023-10-09,32
2023-10-10,33
2023-10-11,35
2023-10-12,36
2023-10-13,32
2023-10-14,33
2023-10-15,39
2023-10-16,34
2023-10-17,35
2023-10-18,34
2023-10-19,35
2023-10-20,33
2023-10-21,31
2023-10-22,31
2023-10-23,33
2023-10-24,34
2023-10-25,34
2023-10-26,33
2023-10-27,33
2023-10-28,32
2023-10-29,100
2023-10-30,42
2023-10-31,37
2023-11-01,49
2023-11-02,38
2023-11-03,34
2023-11-04,36
2023-11-05,33
2023-11-06,31
2023-11-07,38
2023-11-08,33
2023-11-09,35
2023-11-10,35
2023-11-11,33
2023-11-12,33
2023-11-13,34
2023-11-14,33
2023-11-15,33
2023-11-16,35
2023-11-17,37
2023-11-18,35
2023-11-19,31
2023-11-20,34
2023-11-21,32
2023-11-22,33
2023-11-23,30
2023-11-24,32
2023-11-25,32
2023-11-26,32
2023-11-27,31
2023-11-28,31
2023-11-29,33
2023-11-30,32
2023-12-01,30
2023-12-02,28
2023-12-03,29
2023-12-04,30
2023-12-05,32
2023-12-06,33
2023-12-07,31
2023-12-08,32
2023-12-09,32
2023-12-10,37
2023-12-11,34
2023-12-12,33
2023-12-13,37
2023-12-14,32
2023-12-15,33
2023-12-16,32
2023-12-17,30
2023-12-18,32
2023-12-19,32
2023-12-20,34
2023-12-21,34
2023-12-22,33
2023-12-23,31
2023-12-24,36
2023-12-25,31
2023-12-26,35
2023-12-27,35
2023-12-28,33
2023-12-29,34
2023-12-30,32
2023-12-31,30
2024-01-01,35
2024-01-02,34
2024-01-03,33
2024-01-04,34
2024-01-05,34
2024-01-06,33
2024-01-07,31
2024-01-08,39
2024-01-09,34
2024-01-10,34
2024-01-11,32
2024-01-12,31
2024-01-13,31
2024-01-14,32
2024-01-15,30
2024-01-16,31
2024-01-17,33
2024-01-18,30
2024-01-19,33
2024-01-20,33
